objct_d,cnsttn_,dscrptn,ONSCnID,regn_nm,shp_lng,shape_r,prty_cl,wnnr_19
382,Gordon,Westminster Constituency,S14000037,Scotland Euro Region,106799.255688,823162993.034,#FFFF00,Scottish National Party
383,West Aberdeenshire and Kincardine,Westminster Constituency,S14000058,Scotland Euro Region,106799.07688,823160236.686,#0087DC,Conservative
384,Glenrothes,Westminster Constituency,S14000036,Scotland Euro Region,106799.292585,823163561.805,#FFFF00,Scottish National Party
385,Edinburgh North and Leith,Westminster Constituency,S14000023,Scotland Euro Region,106799.088232,823160411.692,#FFFF00,Scottish National Party
386,Edinburgh South,Westminster Constituency,S14000024,Scotland Euro Region,106799.071203,823160149.183,#DC241F,Labour
387,Midlothian,Westminster Constituency,S14000045,Scotland Euro Region,106799.088232,823160411.692,#FFFF00,Scottish National Party
388,"Berwickshire, Roxburgh and Selkirk",Westminster Constituency,S14000008,Scotland Euro Region,106799.125129,823160980.463,#0087DC,Conservative
389,Carlisle,Westminster Constituency,E14000620,North West Euro Region,106799.071203,823160149.183,#0087DC,Conservative
390,Copeland,Westminster Constituency,E14000647,North West Euro Region,106799.068364,823160105.432,#0087DC,Conservative
391,Westmorland and Lonsdale,Westminster Constituency,E14001037,North West Euro Region,106799.071204,823160149.183,#FDBB30,Liberal Democrat
392,Ribble Valley,Westminster Constituency,E14000894,North West Euro Region,106799.096747,823160542.948,#0087DC,Conservative
393,Hyndburn,Westminster Constituency,E14000758,North West Euro Region,106799.264205,823163124.29,#0087DC,Conservative
394,Rochdale,Westminster Constituency,E14000897,North West Euro Region,106799.153511,823161417.979,#DC241F,Labour
395,Oldham East and Saddleworth,Westminster Constituency,E14000870,North West Euro Region,106798.778865,823155642.771,#DC241F,Labour
396,Ashton-under-Lyne,Westminster Constituency,E14000537,North West Euro Region,106799.1081,823160717.954,#DC241F,Labour
397,Stalybridge and Hyde,Westminster Constituency,E14000967,North West Euro Region,106798.781703,823155686.523,#DC241F,Labour
398,North Shropshire,Westminster Constituency,E14000849,West Midlands Euro Region,106799.23582,823162686.774,#0087DC,Conservative
399,Shrewsbury and Atcham,Westminster Constituency,E14000926,West Midlands Euro Region,106798.790218,823155817.777,#0087DC,Conservative
400,Salford and Eccles,Westminster Constituency,E14000911,North West Euro Region,106799.281232,823163386.799,#DC241F,Labour
401,"Manchester, Gorton",Westminster Constituency,E14000808,North West Euro Region,106798.611409,823153061.429,#DC241F,Labour
402,Stockport,Westminster Constituency,E14000969,North West Euro Region,106799.264203,823163124.29,#DC241F,Labour
403,Cheadle,Westminster Constituency,E14000627,North West Euro Region,106799.088232,823160411.692,#0087DC,Conservative
404,Wolverhampton North East,Westminster Constituency,E14001049,West Midlands Euro Region,106798.827114,823156386.548,#0087DC,Conservative
405,"Birmingham, Edgbaston",Westminster Constituency,E14000560,West Midlands Euro Region,106799.034305,823159580.412,#DC241F,Labour
406,"Birmingham, Selly Oak",Westminster Constituency,E14000567,West Midlands Euro Region,106798.68804,823154242.721,#DC241F,Labour
407,Redditch,Westminster Constituency,E14000892,West Midlands Euro Region,106799.014438,823159274.152,#0087DC,Conservative
408,Mid Worcestershire,Westminster Constituency,E14000818,West Midlands Euro Region,106799.059851,823159974.177,#0087DC,Conservative
409,Newbury,Westminster Constituency,E14000830,South East Euro Region,106799.3011,823163693.061,#0087DC,Conservative
410,North West Hampshire,Westminster Constituency,E14000857,South East Euro Region,106799.022956,823159405.406,#0087DC,Conservative
411,Henley,Westminster Constituency,E14000742,South East Euro Region,106799.031467,823159536.661,#0087DC,Conservative
412,Reading West,Westminster Constituency,E14000890,South East Euro Region,106799.068364,823160105.432,#0087DC,Conservative
413,Basingstoke,Westminster Constituency,E14000545,South East Euro Region,106799.039982,823159667.916,#0087DC,Conservative
414,Wokingham,Westminster Constituency,E14001048,South East Euro Region,106799.076879,823160236.686,#0087DC,Conservative
415,North East Hampshire,Westminster Constituency,E14000844,South East Euro Region,106799.096747,823160542.947,#0087DC,Conservative
416,East Hampshire,Westminster Constituency,E14000680,South East Euro Region,106799.079717,823160280.438,#0087DC,Conservative
417,"Southampton, Itchen",Westminster Constituency,E14000955,South East Euro Region,106799.05985,823159974.177,#0087DC,Conservative
418,Banff and Buchan,Westminster Constituency,S14000007,Scotland Euro Region,106798.658703,823153790.431,#0087DC,Conservative
419,Moray,Westminster Constituency,S14000046,Scotland Euro Region,106798.689924,823154271.694,#0087DC,Conservative
420,Dundee East,Westminster Constituency,S14000015,Scotland Euro Region,106798.687085,823154227.943,#FFFF00,Scottish National Party
