objct_d,cnsttn_,dscrptn,ONSCnID,regn_nm,shp_lng,shape_r,prty_cl,wnnr_19
563,Inverclyde,Westminster Constituency,S14000038,Scotland Euro Region,106798.805083,823156046.929,#FFFF00,Scottish National Party
564,Central Ayrshire,Westminster Constituency,S14000010,Scotland Euro Region,106799.171215,823161690.885,#FFFF00,Scottish National Party
565,"Ayr, Carrick and Cumnock",Westminster Constituency,S14000006,Scotland Euro Region,106798.84198,823156615.7,#FFFF00,Scottish National Party
566,Paisley and Renfrewshire South,Westminster Constituency,S14000053,Scotland Euro Region,106799.301774,823163703.458,#FFFF00,Scottish National Party
567,West Lancashire,Westminster Constituency,E14001033,North West Euro Region,106799.09742,823160553.343,#DC241F,Labour
568,Southport,Westminster Constituency,E14000958,North West Euro Region,106799.11445,823160815.853,#0087DC,Conservative
569,Sefton Central,Westminster Constituency,E14000916,North West Euro Region,106799.086067,823160378.337,#DC241F,Labour
570,Wallasey,Westminster Constituency,E14001010,North West Euro Region,106799.105935,823160684.598,#DC241F,Labour
571,"Liverpool, Riverside",Westminster Constituency,E14000793,North West Euro Region,106799.094582,823160509.591,#DC241F,Labour
572,Wirral South,Westminster Constituency,E14001043,North West Euro Region,106799.151347,823161384.623,#DC241F,Labour
573,Ellesmere Port and Neston,Westminster Constituency,E14000688,North West Euro Region,106798.992407,823158934.534,#DC241F,Labour
574,Vale of Clwyd,Westminster Constituency,W07000060,Wales Euro Region,106799.159862,823161515.878,#0087DC,Conservative
575,Blaenau Gwent,Westminster Constituency,W07000072,Wales Euro Region,106799.105935,823160684.598,#DC241F,Labour
576,Islwyn,Westminster Constituency,W07000077,Wales Euro Region,106799.338671,823164272.229,#DC241F,Labour
577,Rhondda,Westminster Constituency,W07000052,Wales Euro Region,106799.094582,823160509.591,#DC241F,Labour
578,Cardiff North,Westminster Constituency,W07000051,Wales Euro Region,106798.870362,823157053.216,#DC241F,Labour
579,Thornbury and Yate,Westminster Constituency,E14000994,South West Euro Region,106799.279068,823163353.445,#0087DC,Conservative
580,Bristol West,Westminster Constituency,E14000602,South West Euro Region,106798.966862,823158540.77,#DC241F,Labour
581,Wells,Westminster Constituency,E14001026,South West Euro Region,106799.318803,823163965.968,#0087DC,Conservative
582,North Dorset,Westminster Constituency,E14000839,South West Euro Region,106798.575185,823152503.051,#0087DC,Conservative
583,West Dorset,Westminster Constituency,E14001031,South West Euro Region,106799.270553,823163222.191,#0087DC,Conservative
584,Na h-Eileanan an Iar,Westminster Constituency,S14000027,Scotland Euro Region,106798.608013,823153009.097,#FFFF00,Scottish National Party
585,North Ayrshire and Arran,Westminster Constituency,S14000048,Scotland Euro Region,106799.073484,823160184.352,#FFFF00,Scottish National Party
586,Bootle,Westminster Constituency,E14000581,North West Euro Region,106799.221072,823162459.433,#DC241F,Labour
587,Wirral West,Westminster Constituency,E14001044,North West Euro Region,106798.775469,823155590.438,#DC241F,Labour
588,Birkenhead,Westminster Constituency,E14000559,North West Euro Region,106799.266484,823163159.458,#DC241F,Labour
589,Aberconwy,Westminster Constituency,W07000058,Wales Euro Region,106799.249454,823162896.949,#0087DC,Conservative
590,Clwyd West,Westminster Constituency,W07000059,Wales Euro Region,106799.073484,823160184.352,#0087DC,Conservative
591,Merthyr Tydfil and Rhymney,Westminster Constituency,W07000071,Wales Euro Region,106799.045102,823159746.837,#DC241F,Labour
592,Neath,Westminster Constituency,W07000069,Wales Euro Region,106799.286351,823163465.72,#DC241F,Labour
593,Pontypridd,Westminster Constituency,W07000075,Wales Euro Region,106799.008207,823159178.066,#DC241F,Labour
594,Cardiff West,Westminster Constituency,W07000079,Wales Euro Region,106799.016719,823159309.321,#DC241F,Labour
595,Filton and Bradley Stoke,Westminster Constituency,E14000702,South West Euro Region,106799.062131,823160009.346,#0087DC,Conservative
596,Bristol North West,Westminster Constituency,E14000600,South West Euro Region,106799.081998,823160315.607,#DC241F,Labour
597,Somerton and Frome,Westminster Constituency,E14000932,South West Euro Region,106799.064969,823160053.098,#0087DC,Conservative
598,Yeovil,Westminster Constituency,E14001060,South West Euro Region,106799.045101,823159746.837,#0087DC,Conservative
599,Arfon,Westminster Constituency,W07000057,Wales Euro Region,106799.154946,823161440.098,#008142,Plaid Cymru
600,Swansea East,Westminster Constituency,W07000048,Wales Euro Region,106799.333755,823164196.449,#DC241F,Labour
601,Aberavon,Westminster Constituency,W07000049,Wales Euro Region,106799.089666,823160433.811,#DC241F,Labour
602,Ogmore,Westminster Constituency,W07000074,Wales Euro Region,106798.865446,823156977.436,#DC241F,Labour
603,Vale of Glamorgan,Westminster Constituency,W07000078,Wales Euro Region,106799.101019,823160608.818,#0087DC,Conservative
604,Weston-Super-Mare,Westminster Constituency,E14001038,South West Euro Region,106799.313887,823163890.188,#0087DC,Conservative
605,Taunton Deane,Westminster Constituency,E14000988,South West Euro Region,106798.570269,823152427.271,#0087DC,Conservative
606,Tiverton and Honiton,Westminster Constituency,E14000996,South West Euro Region,106799.265637,823163146.41,#0087DC,Conservative
607,East Devon,Westminster Constituency,E14000678,South West Euro Region,106799.061285,823159996.296,#0087DC,Conservative
608,Ynys Mon,Westminster Constituency,W07000041,Wales Euro Region,106798.65893,823153793.962,#0087DC,Conservative
609,Gower,Westminster Constituency,W07000046,Wales Euro Region,106799.34862,823164425.604,#DC241F,Labour
610,Swansea West,Westminster Constituency,W07000047,Wales Euro Region,106799.070476,823160137.946,#DC241F,Labour
611,Bridgend,Westminster Constituency,W07000073,Wales Euro Region,106799.078987,823160269.201,#0087DC,Conservative
612,Bridgwater and West Somerset,Westminster Constituency,E14000595,South West Euro Region,106799.127237,823161012.978,#0087DC,Conservative
613,Central Devon,Westminster Constituency,E14000623,South West Euro Region,106799.10737,823160706.717,#0087DC,Conservative
614,Exeter,Westminster Constituency,E14000698,South West Euro Region,106799.127237,823161012.978,#DC241F,Labour
615,Newton Abbot,Westminster Constituency,E14000835,South West Euro Region,106799.368488,823164731.865,#0087DC,Conservative
616,Torbay,Westminster Constituency,E14000999,South West Euro Region,106799.127237,823161012.978,#0087DC,Conservative
617,Carmarthen East and Dinefwr,Westminster Constituency,W07000067,Wales Euro Region,106799.333825,823164197.552,#008142,Plaid Cymru
618,Carmarthen West and South Pembrokeshire,Westminster Constituency,W07000066,Wales Euro Region,106799.109605,823160741.161,#0087DC,Conservative
619,North Devon,Westminster Constituency,E14000838,South West Euro Region,106798.814428,823156190.975,#0087DC,Conservative
620,Torridge and West Devon,Westminster Constituency,E14001000,South West Euro Region,106799.509795,823166910.164,#0087DC,Conservative
621,South West Devon,Westminster Constituency,E14000950,South West Euro Region,106799.305444,823163760.034,#0087DC,Conservative
622,Totnes,Westminster Constituency,E14001001,South West Euro Region,106799.538178,823167347.681,#0087DC,Conservative
623,Llanelli,Westminster Constituency,W07000045,Wales Euro Region,106799.183551,823161880.884,#DC241F,Labour
624,Preseli Pembrokeshire,Westminster Constituency,W07000065,Wales Euro Region,106799.192063,823162012.14,#0087DC,Conservative
625,"Plymouth, Moor View",Westminster Constituency,E14000879,South West Euro Region,106799.240312,823162755.919,#0087DC,Conservative
626,"Plymouth, Sutton and Devonport",Westminster Constituency,E14000880,South West Euro Region,106799.481559,823166474.814,#DC241F,Labour
627,North Cornwall,Westminster Constituency,E14000837,South West Euro Region,106799.064562,823160046.816,#0087DC,Conservative
628,South East Cornwall,Westminster Constituency,E14000938,South West Euro Region,106799.297297,823163634.446,#0087DC,Conservative
629,St. Austell and Newquay,Westminster Constituency,E14000961,South West Euro Region,106799.347186,823164403.483,#0087DC,Conservative
630,Truro and Falmouth,Westminster Constituency,E14001003,South West Euro Region,106799.105935,823160684.598,#0087DC,Conservative
631,Camborne and Redruth,Westminster Constituency,E14000616,South West Euro Region,106799.292381,823163558.666,#0087DC,Conservative
632,St. Ives,Westminster Constituency,E14000964,South West Euro Region,106799.076439,823160229.918,#0087DC,Conservative
