ons_code,pc_ns_prof_man,pc_ns_inter,pc_ns_routine,pc_never_worked
E14001063,0.34113170466543313,0.23198586675865818,0.29966234933776564,0.07840185655596324
E14001064,0.31342507764479616,0.23199875248528323,0.3237430639481242,0.07802164957831403
E14001065,0.48120641474283127,0.21768082374562575,0.1773872762518567,0.062020090128647315
E14001066,0.2769037969283277,0.2109375,0.3958911049488055,0.07597856228668942
E14001067,0.4157065629510041,0.2787358430566767,0.20784716616521123,0.05202905995450209
E14001068,0.2382827630729503,0.20040025823111685,0.4274370561652679,0.08955455132343447
E14001069,0.33291701523488587,0.2337429746320887,0.304061457977401,0.07357047754827915
E14001070,0.24369737322374796,0.22300537438169438,0.3585480358963386,0.11371788901335414
E14001071,0.3700057438253877,0.24290637564618037,0.2679035037334865,0.06553704767375072
E14001072,0.35187648111428155,0.22892585965081974,0.3160637423223872,0.054710547951830536
E14001073,0.2218428993812296,0.23190172828969427,0.29544507777811646,0.1360482010952947
E14001074,0.24015244796247434,0.20662562298446205,0.40671943711521547,0.09914980944004691
E14001075,0.2119600938967136,0.20656103286384978,0.42332159624413146,0.11245305164319248
E14001076,0.3034225861178727,0.1960733692311475,0.37445600059010103,0.08837992672911903
E14001077,0.32020711912896477,0.2511201220016787,0.2965633829457731,0.07881639456666943
E14001078,0.36917207773939076,0.22227974026850925,0.30048052576495876,0.061117925749203814
E14001079,0.2741969298143446,0.20126254979151623,0.39645694052971187,0.08503575671457522
E14001080,0.37592253036901213,0.17669035067614028,0.19019023607609442,0.0431010772404309
E14001081,0.5516476104481022,0.16399952132809695,0.14774643443826765,0.06487092176978057
E14001082,0.4496190318175437,0.2498947072862558,0.19144129771674345,0.057470677574566385
E14001083,0.48008366469763486,0.22974463879375734,0.16914519502608777,0.06365642310432804
E14001084,0.2943403904192429,0.211339565271451,0.3340718217680769,0.09160270829330047
E14001085,0.4522437462694666,0.14886320473167292,0.18400347278745455,0.08159965272125455
E14001086,0.3467013148198425,0.1468894232633906,0.19377108947756275,0.1558100298646395
E14001087,0.3457713736285447,0.23584421058177363,0.29890810426353015,0.0695441434084533
E14001088,0.34101406745535656,0.292771512415944,0.2504507112684397,0.07495624481846534
E14001089,0.33369494467346494,0.25766722397355557,0.26684364351077816,0.07752096282209998
E14001090,0.4045784857271106,0.2278567009183661,0.2754491744410341,0.04673112618131968
