Boundary Comm name,PA name,ONS code,PANO,region_name,country_name,constituency_type,Index_of_change,"""turnout""",electorate,total_votes,majority,maj+pc,Win19,Second19,con_pc,lab_pc,ld_pc,green_pc,bxp_pc,snp_pc,plaid_pc,other_pc
South Ribble,South Ribble,E14001491,525,NW,England,County,30.2,68.3,72029,49230,8515,17.3,Con,Lab,53.52,36.22,7.74,2.51,0,0,0,0
South Shields,South Shields,E14001492,526,NE,England,Borough,11,65.7,69725,45798,8365,18.26,Lab,Con,25.82,44.09,3.55,3.15,14.68,0,0,8.71
Southampton Itchen,Southampton Itchen,E14001499,527,SE,England,Borough,none,65.7,72150,47421,4498,9.49,Con,Lab,50.51,41.02,5.28,2.19,0,0,0,1
Southampton Test,Southampton Test,E14001500,528,SE,England,Borough,none,64.3,69960,44994,6213,13.81,Lab,Con,35.66,49.46,7.67,3.18,3.54,0,0,0.49
Southend East and Rochford,Southend East & Rochford,E14001501,529,EE,England,County,14.3,61.6,70094,43157,11942,27.67,Con,Lab,59,31.33,6.43,0.1,0,0,0,3.14
Southend West and Leigh,Southend West & Leigh,E14001502,530,EE,England,Borough,11.7,66.9,76824,51421,15454,30.05,Con,Lab,59.06,29,10.6,0,0,0,0,1.35
Southgate and Wood Green,Southgate & Wood Green,E14001503,531,GL,England,Borough,86.2,69.3,76034,52712,15414,29.24,Lab,Con,28.55,57.8,9.94,2.45,1.25,0,0,0
Southport,Southport,E14001504,532,NW,England,County,33.2,67.2,74168,49808,6771,13.59,Con,Lab,50.38,36.78,12.48,0.36,0,0,0,0
Spelthorne,Spelthorne,E14001505,533,SE,England,Borough,none,67.9,72897,49510,18393,37.15,Con,Lab,58.86,21.71,15.15,4.29,0,0,0,0
Spen Valley,Spen Valley,E14001506,534,YH,England,Borough,56.7,65.4,72169,47209,6064,12.85,Con,Lab,46.36,33.51,5.84,1.76,3.45,0,0,9.09
St Albans,St Albans,E14001507,535,EE,England,County,4.3,78,70881,55297,5905,10.68,LD,Con,39.25,8.82,49.93,1.72,0,0,0,0.28
St Austell and Newquay,St Austell & Newquay,E14001508,536,SW,England,County,15.9,73.9,74585,55098,15942,28.93,Con,Lab,55.57,26.64,10.82,3.07,0,0,0,3.89
St Helens North,St Helens North,E14001509,537,NW,England,County,none,62.5,76082,47561,12209,25.67,Lab,Con,26.62,52.29,5.61,4.13,11.35,0,0,0
St Helens South and Whiston,St Helens South & Whiston,E14001510,538,NW,England,Borough,10.8,64,70937,45397,16720,36.83,Lab,Con,21.29,58.12,5.68,4.28,10.62,0,0,0
St Ives,St Ives,E14001511,539,SW,England,County,3.8,76.9,70107,53899,5227,9.7,Con,LD,48.99,9.08,39.29,1.82,0,0,0,0.83
St Neots and Mid Cambridgeshire,St Neots & Mid Cambridgeshire,E14001512,540,EE,England,County,111.1,67,74699,50043,12250,24.48,Con,LD,51.3,18.81,26.82,1.7,0,0,0,1.37
Stafford,Stafford,E14001513,541,WM,England,Borough,55.2,72.7,70537,51311,13720,26.74,Con,Lab,57.94,31.2,6.38,4.48,0,0,0,0
Staffordshire Moorlands,Staffordshire Moorlands,E14001514,542,WM,England,Borough,19.9,67.3,70113,47209,17659,37.41,Con,Lab,64.1,26.69,6.14,3.07,0,0,0,0
Stalybridge and Hyde,Stalybridge & Hyde,E14001515,543,NW,England,County,none,58,73028,42368,2946,6.95,Lab,Con,37.95,44.9,4.31,3.33,8.48,0,0,1.03
Stevenage,Stevenage,E14001516,544,EE,England,County,none,67.8,70370,47683,8562,17.96,Con,Lab,53.12,35.16,8.67,3.06,0,0,0,0
Stirling and Strathallan,Stirling & Strathallan,S14000105,545,SC,Scotland,County,9.9,75.1,77008,57811,8556,14.8,SNP,Con,35.03,7.65,5.85,1.63,0,49.83,0,0
Stockport,Stockport,E14001517,546,NW,England,Borough,48.9,61.5,74769,46017,12012,26.1,Lab,Con,28.18,54.28,8.66,3.55,5.32,0,0,0
Stockton North,Stockton North,E14001518,547,NE,England,County,13.1,61.8,69779,43108,3972,9.21,Lab,Con,37.5,46.71,4,0,9.04,0,0,2.76
Stockton West,Stockton West,E14001519,548,NE,England,County,37.3,74.2,70108,52050,11749,22.57,Con,Lab,56.48,33.91,4.45,0.5,4.66,0,0,0
Stoke-on-Trent Central,Stoke-on-Trent Central,E14001520,549,WM,England,Borough,42.6,57.6,70550,40610,1715,4.22,Con,Lab,47.11,42.89,3.76,1.97,4.26,0,0,0
Stoke-on-Trent North,Stoke-on-Trent North,E14001521,550,WM,England,Borough,15.5,59.9,69821,41848,8077,19.3,Con,Lab,54.14,34.84,3.3,1.37,5.58,0,0,0.77
Stoke-on-Trent South,Stoke-on-Trent South,E14001522,551,WM,England,Borough,57.6,67,69831,46782,15393,32.9,Con,Lab,62.53,29.63,6.23,1.6,0,0,0,0
"Stone, Great Wyrley and Penkridge","Stone, Great Wyrley & Penkridge",E14001523,552,WM,England,Borough,108.5,66.1,70701,46741,21922,46.9,Con,Lab,68.48,21.58,6.52,3.42,0,0,0,0
Stourbridge,Stourbridge,E14001524,553,WM,England,Borough,58,66.3,69840,46311,15133,32.68,Con,Lab,61.79,29.11,5.78,1.98,0,0,0,1.34
Strangford,Strangford,N05000016,554,NI,Northern Ireland,County,21.8,56.8,70070,39834,5677,14.25,DUP,All,3.37,,,1.8,,,,0.77
Stratford and Bow,Stratford & Bow,E14001525,555,GL,England,Borough,84.1,64.2,73849,47375,26491,55.92,Lab,Con,14.52,70.43,9,3.71,2.34,0,0,0
Stratford-on-Avon,Stratford-on-Avon,E14001526,556,WM,England,Borough,2.3,74,72388,53557,19020,35.51,Con,LD,60.19,11.34,24.68,3.79,0,0,0,0
Streatham and Croydon North,Streatham & Croydon North,E14001527,557,GL,England,Borough,96.4,67.5,76050,51308,20038,39.05,Lab,Con,18.84,57.89,17.55,4.44,1.28,0,0,0
Stretford and Urmston,Stretford & Urmston,E14001528,558,NW,England,Borough,none,68.4,73212,50067,16417,32.79,Lab,Con,27.52,60.31,5.93,2.71,3.53,0,0,0
Stroud,Stroud,E14001529,559,SW,England,County,22.4,79.6,76249,60688,2467,4.07,Con,Lab,45.7,41.63,2.23,8,1.5,0,0,0.93
Central Suffolk and North Ipswich,Suffolk Central & North Ipswich,E14001156,560,EE,England,County,27.8,71,71020,"50,412","20,213",40.1,Con,Lab,61.9337,21.84,10.64,5.59,0,0,0,0
Suffolk Coastal,Suffolk Coastal,E14001530,561,EE,England,County,9.7,72.1,72663,52365,18355,35.05,Con,Lab,56.45,21.39,15.13,4.41,0,0,0,2.63
South Suffolk,Suffolk South,E14001494,562,EE,England,County,4.6,70.5,71070,50106,21473,42.86,Con,Lab,62.06,19.2,12.69,6.05,0,0,0,0
West Suffolk,Suffolk West,E14001578,563,EE,England,County,17.1,64.7,76243,49340,20797,42.15,Con,Lab,64.33,22.17,9.04,4.46,0,0,0,0
Sunderland Central,Sunderland Central,E14001531,564,NE,England,Borough,none,59.8,72688,43476,2964,6.82,Lab,Con,35.36,42.17,6.96,2.79,11.61,0,0,1.11
East Surrey,Surrey East,E14001215,565,SE,England,County,31.3,70.4,73145,51475,20565,39.95,Con,LD,60.35,13.19,20.39,2.98,0,0,0,3.09
Surrey Heath,Surrey Heath,E14001532,566,SE,England,County,24.2,73.6,70825,52131,15552,29.83,Con,LD,57.86,9.38,28.02,3.54,0,0,0,1.2
Mid Sussex,Sussex Mid,E14001366,567,SE,England,County,45.4,73.3,72255,52949,13665,25.81,Con,LD,51.28,18,25.48,4.12,0,0,0,1.13
Sussex Weald,Sussex Weald,E14001533,568,SE,England,County,43.3,70.5,70075,49418,23164,46.87,Con,LD,63.71,14.87,16.84,4.58,0,0,0,0
Sutton and Cheam,Sutton & Cheam,E14001534,569,GL,England,Borough,none,70.8,71284,50487,8351,16.54,Con,LD,49.98,14.26,33.44,2.31,0,0,0,0
Sutton Coldfield,Sutton Coldfield,E14001535,570,WM,England,Borough,none,70.2,74584,52325,19272,36.83,Con,Lab,60.4,23.57,12.15,3.88,0,0,0,0
Swansea West,Swansea West,W07000108,571,WA,Wales,County,97.1,59.2,74612,44199,10037,22.71,Lab,Con,28.67,51.38,6.41,0.83,6.84,0,5.87,0
Swindon North,Swindon North,E14001536,572,SW,England,County,12.6,65.7,72163,47381,13250,27.96,Con,Lab,58.5,30.54,7.9,3.06,0,0,0,0
Swindon South,Swindon South,E14001537,573,SW,England,Borough,29.2,68.3,72468,49527,5650,11.41,Con,Lab,51.62,40.21,7.65,0.53,0,0,0,0
Tamworth,Tamworth,E14001538,574,WM,England,Borough,3.8,64.6,73644,47584,20663,43.42,Con,Lab,66.72,23.3,5.32,2.05,0,0,0,2.62
Tatton,Tatton,E14001539,575,NW,England,County,21.2,73.3,75538,55394,19281,34.81,Con,Lab,57.28,22.48,16.19,3.69,0.36,0,0,0
Taunton and Wellington,Taunton & Wellington,E14001540,576,SW,England,County,12.9,71.6,76049,54440,8536,15.68,Con,LD,51.98,7.9,36.3,0,0,0,0,3.82
Telford,Telford,E14001541,577,WM,England,Borough,2.1,61.5,70768,43525,10900,25.04,Con,Lab,59.37,34.33,6.24,0.06,0,0,0,0
Tewkesbury,Tewkesbury,E14001542,578,SW,England,County,36.3,74.4,72426,53858,19443,36.1,Con,LD,58.1,15.69,22,4.22,0,0,0,0
East Thanet,Thanet East,E14001216,579,SE,England,Borough,33.5,64.9,73790,47924,7585,15.83,Con,Lab,53.45,37.62,5.19,3.74,0,0,0,0
Thirsk and Malton,Thirsk & Malton,E14001544,580,YH,England,County,29.6,68.1,76623,52198,23337,44.71,Con,Lab,62.5,17.79,12.46,4.5,0,0,0,2.75
Thornbury and Yate,Thornbury & Yate,E14001545,581,SW,England,County,10.9,74.8,74935,56083,14538,25.92,Con,LD,58.48,8.74,32.56,0.22,0,0,0,0
Thurrock,Thurrock,E14001546,582,EE,England,Borough,8.8,60.5,73347,44369,11962,26.96,Con,Lab,59.91,32.95,3.13,1.67,0,0,0,2.35
Tipton and Wednesbury,Tipton & Wednesbury,E14001547,583,WM,England,Borough,70.2,51.7,73820,38200,4693,12.29,Con,Lab,50.71,38.42,3.13,1.89,5.85,0,0,0
Tiverton and Minehead,Tiverton & Minehead,E14001548,584,SW,England,County,109.5,69.8,70829,49411,20665,41.82,Con,LD,61.32,14.31,19.49,4.26,0,0,0,0.63
Tonbridge,Tonbridge,E14001549,585,SE,England,County,31.9,73.9,73692,54450,27052,49.68,Con,Lab,64.76,15.08,12.29,7.88,0,0,0,0
Tooting,Tooting,E14001550,586,GL,England,Borough,none,76,76986,58473,14307,24.47,Lab,Con,28.22,52.69,14.2,3.96,0.79,0,0,0.13
Torbay,Torbay,E14001551,587,SW,England,Borough,1.6,67.3,75742,50971,17751,34.83,Con,LD,59.07,12.99,24.25,2.42,0,0,0,1.27
Torfaen,Torfaen,W07000109,588,WA,Wales,County,12.6,61.7,70591,43553,4110,9.44,Lab,Con,33.31,42.74,4.95,2.22,13.18,0,3.6,0
Torridge and Tavistock,Torridge & Tavistock,E14001552,589,SW,England,County,7.7,73.1,74802,54668,22899,41.89,Con,LD,59.83,17.86,17.94,3.37,0,0,0,1
Tottenham,Tottenham,E14001553,590,GL,England,Borough,35.7,60.2,75968,45720,30488,66.68,Lab,Con,11.1,77.79,5.04,4.3,1.29,0,0,0.48
Truro and Falmouth,Truro & Falmouth,E14001554,591,SW,England,County,22,75.3,73326,55178,4459,8.08,Con,Lab,46.83,38.75,10.84,2.76,0,0,0,0.82
Tunbridge Wells,Tunbridge Wells,E14001555,592,SE,England,County,none,72.7,75213,54650,14645,26.8,Con,LD,55.11,14.82,28.31,0,0,0,0,1.75
Twickenham,Twickenham,E14001556,593,GL,England,Borough,8.9,76.9,75889,58352,13074,22.41,LD,Con,33.83,8.66,56.24,0,1.27,0,0,0
Tynemouth,Tynemouth,E14001557,594,NE,England,Borough,19.7,73.9,73022,53940,3512,6.51,Lab,Con,40.22,46.73,6.71,2.44,3.89,0,0,0
West Tyrone,Tyrone West,N05000018,595,NI,Northern Ireland,County,6.1,62.2,70614,43891,8074,18.4,SF,DUP,0,,,1.19,,,,2.3
Mid Ulster,Ulster Mid,N05000010,596,NI,Northern Ireland,County,9.3,63.5,70094,44534,9806,22.02,SF,DUP,0,,,0,,,,1.55
Upper Bann,Upper Bann,N05000017,597,NI,Northern Ireland,County,16.4,60.3,76969,46442,7477,16.1,DUP,SF,0,,,0,,,,0.08
Uxbridge and South Ruislip,Uxbridge & South Ruislip,E14001558,598,GL,England,Borough,26.4,67.7,75042,50782,7939,15.63,Con,Lab,52.6,36.97,6.64,2.65,0,0,0,1.14
Vale of Glamorgan,Vale of Glamorgan,W07000110,599,WA,Wales,County,8.3,71,70426,49993,2566,5.13,Con,Lab,49.08,43.94,0,5.96,0,0,0,1.02
Vauxhall and Camberwell Green,Vauxhall & Camberwell Green,E14001559,600,GL,England,Borough,64.3,66.3,69995,46440,19225,41.4,Lab,LD,14.53,60.45,19.05,4.12,1.55,0,0,0.29
Wakefield and Rothwell,Wakefield & Rothwell,E14001560,601,YH,England,Borough,114.2,66.4,73968,49093,2626,5.35,Con,Lab,44.86,39.51,10.92,1,3.23,0,0,0.48
Wallasey,Wallasey,E14001561,602,NW,England,Borough,9.4,70.5,73054,51470,19422,37.73,Lab,Con,25.93,63.67,3.9,2.37,4.13,0,0,0
Walsall and Bloxwich,Walsall & Bloxwich,E14001562,603,WM,England,Borough,97.8,60.9,74866,45630,2186,4.79,Con,Lab,49.21,44.42,2.93,1.53,1.29,0,0,0.63
Walthamstow,Walthamstow,E14001563,604,GL,England,Borough,none,68.2,70867,48335,30862,63.85,Lab,Con,12.25,76.1,5.95,3.59,1.59,0,0,0.53
Warrington North,Warrington North,E14001564,605,NW,England,County,0.2,64.3,72350,46546,1513,3.25,Lab,Con,40.94,44.19,6.56,2.69,5.62,0,0,0
Warrington South,Warrington South,E14001565,606,NW,England,County,11.7,70.6,76639,54129,65,0.12,Lab,Con,44.35,44.47,8.16,0.01,2.7,0,0,0.31
Warwick and Leamington,Warwick & Leamington,E14001566,607,WM,England,Borough,12.3,69.2,75440,52208,1169,2.24,Lab,Con,41.07,43.31,10.9,2.91,1.38,0,0,0.42
North Warwickshire and Bedworth,Warwickshire North & Bedworth,E14001400,608,WM,England,Borough,none,65.4,70245,45914,17956,39.11,Con,Lab,65.88,26.77,4.51,2.84,0,0,0,0
Washington and Gateshead South,Washington & Gateshead South,E14001567,609,NE,England,Borough,32.1,58.5,71775,41954,3938,9.39,Lab,Con,33.73,43.12,4.93,2.67,13.79,0,0,1.76
Watford,Watford,E14001568,610,EE,England,Borough,29.3,68.4,70576,48298,1300,2.69,Con,Lab,42,39.31,17.74,0.26,0,0,0,0.69
Waveney Valley,Waveney Valley,E14001569,611,EE,England,County,115.1,72.7,70540,51280,22364,43.61,Con,Lab,62.2,18.59,9.16,9.31,0,0,0,0.74
Weald of Kent,Weald of Kent,E14001570,612,SE,England,County,105.4,70.8,70110,49652,28751,57.91,Con,Lab,71.96,14.06,10.11,3.88,0,0,0,0
Wellingborough and Rushden,Wellingborough & Rushden,E14001571,613,EM,England,County,18.9,61.4,76669,47044,16038,34.09,Con,Lab,62.35,28.26,6.67,2.71,0,0,0,0
Wells and Mendip Hills,Wells & Mendip Hills,E14001572,614,SW,England,County,75.1,80.8,69843,56441,14295,25.33,Con,LD,56.13,10.77,30.8,1.17,0,0,0,1.14
Welwyn Hatfield,Welwyn Hatfield,E14001573,615,EE,England,County,0.5,69.5,74535,51797,10773,20.8,Con,Lab,52.49,31.69,12.71,3.11,0,0,0,0
West Bromwich,West Bromwich,E14001574,616,WM,England,Borough,73.2,57.3,72206,41377,2150,5.2,Con,Lab,47.32,42.12,3.55,1.91,3.78,0,0,1.32
West Ham and Beckton,West Ham & Beckton,E14001576,617,GL,England,Borough,63.5,57.3,70590,40430,21937,54.26,Lab,Con,16.44,70.7,6.06,2.53,2.77,0,0,1.5
Westmorland and Lonsdale,Westmorland & Lonsdale,E14001580,618,NW,England,County,52.2,74.9,72322,54200,5140,9.48,Con,LD,50.16,6.92,40.68,0.53,1.11,0,0,0.6
Weston-super-Mare,Weston-super-Mare,E14001581,619,SW,England,County,15.2,64.9,70722,45872,13310,29.02,Con,Lab,57.14,28.12,11.73,3.01,0,0,0,0
Wetherby and Easingwold,Wetherby & Easingwold,E14001582,620,YH,England,County,109.9,76.1,71455,54397,27164,49.94,Con,Lab,68.19,18.25,7.91,3.93,0,0,0,1.72
Whitehaven and Workington,Whitehaven & Workington,E14001583,621,NW,England,County,65.5,67.3,73385,49369,2144,4.34,Con,Lab,48.42,44.08,3.96,1.23,1.52,0,0,0.8
Widnes and Halewood,Widnes & Halewood,E14001584,622,NW,England,County,65.1,66.6,70865,47209,21542,45.63,Lab,Con,20.82,66.45,2.78,2.34,7.61,0,0,0
Wigan,Wigan,E14001585,623,NW,England,County,none,59.6,75607,45042,6728,14.94,Lab,Con,31.78,46.72,5.39,2.88,13.23,0,0,0
East Wiltshire,Wiltshire East,E14001217,624,SW,England,County,69.3,68.9,71109,48988,24523,50.06,Con,Lab,65.94,15.88,14.49,3.69,0,0,0,0
South West Wiltshire,Wiltshire South West,E14001498,625,SW,England,County,18.6,66,71551,47237,17378,36.79,Con,Lab,58.31,21.53,16.48,3.68,0,0,0,0
Wimbledon,Wimbledon,E14001586,626,GL,England,Borough,29.6,76.2,74641,56872,839,1.48,Con,LD,39.77,20.81,38.29,0.24,0.24,0,0,0.64
Winchester,Winchester,E14001587,627,SE,England,County,47.3,83.5,76577,63911,9050,14.16,Con,LD,54.02,4.76,39.86,0.92,0,0,0,0.46
Windsor,Windsor,E14001588,628,SE,England,County,55.8,67.3,74338,50031,18247,36.47,Con,Lab,56.04,19.57,18.87,3.46,0.3,0,0,1.77
Wirral West,Wirral West,E14001589,629,NW,England,County,51.3,77.7,72126,56046,455,0.81,Lab,Con,44.36,45.17,5.72,2.53,2.22,0,0,0
Witham,Witham,E14001590,630,EE,England,County,11.8,69.4,75064,52105,25669,49.26,Con,Lab,66.74,17.48,10.01,5.77,0,0,0,0
Witney,Witney,E14001591,631,SE,England,County,59,69.7,70042,48839,15674,32.09,Con,LD,58.06,15.4,25.96,0,0.02,0,0,0.56
Woking,Woking,E14001592,632,SE,England,Borough,5.9,70.4,71737,50475,8683,17.2,Con,LD,48.26,16.73,31.05,2.77,0,0,0,1.19
Wokingham,Wokingham,E14001593,633,SE,England,County,83.8,78.3,70235,55012,12750,23.18,Con,LD,55.49,9.86,32.31,2.2,0,0,0,0.15
Wolverhampton North East,Wolverhampton North East,E14001594,634,WM,England,Borough,44.4,56.2,70449,39564,7847,19.83,Con,Lab,55.69,35.86,3.57,1.83,3.05,0,0,0
Wolverhampton South East,Wolverhampton South East,E14001595,635,WM,England,Borough,77.6,50.5,75685,38227,2373,6.21,Lab,Con,41.18,47.39,3.81,1.7,5.92,0,0,0
Wolverhampton West,Wolverhampton West,E14001596,636,WM,England,Borough,26.4,67.4,75592,50938,934,1.83,Con,Lab,47.37,45.54,4.36,0.24,2.48,0,0,0
Worcester,Worcester,E14001597,637,WM,England,Borough,none,68.8,73928,50898,6758,13.28,Con,Lab,50.8,37.52,7.2,3.33,0,0,0,1.15
West Worcestershire,Worcestershire West,E14001579,638,WM,England,Borough,none,75.1,76638,57530,24499,42.58,Con,LD,60.68,16.51,18.09,4.72,0,0,0,0
Worsley and Eccles,Worsley & Eccles,E14001598,639,NW,England,County,74.1,64.4,76915,49563,3961,7.99,Lab,Con,38.53,46.52,5.26,2.54,7.14,0,0,0
East Worthing and Shoreham,Worthing East & Shoreham,E14001218,640,SE,England,County,none,70.4,75466,53128,7474,14.07,Con,Lab,51.02,36.95,7.77,3.78,0,0,0,0.48
Worthing West,Worthing West,E14001599,641,SE,England,County,25.5,68.9,76293,52560,13912,26.47,Con,Lab,56,29.53,9.92,3.62,0,0,0,0.93
The Wrekin,"Wrekin, The",E14001543,642,WM,England,Borough,11.2,68.9,76143,52432,21173,40.38,Con,Lab,64.71,24.33,8.03,2.93,0,0,0,0
Wrexham,Wrexham,W07000111,643,WA,Wales,County,42.4,66.4,70964,47123,3939,8.36,Con,Lab,46.54,38.19,4.27,0.94,3.77,0,6.28,0
Wycombe,Wycombe,E14001600,644,SE,England,County,17.6,65.3,71769,46892,1494,3.19,Con,Lab,43.11,39.92,11.32,2.58,0,0,0,3.07
Wyre Forest,Wyre Forest,E14001601,645,WM,England,Borough,none,65.7,77015,50561,21413,42.35,Con,Lab,65.19,22.84,8.07,3.9,0,0,0,0
Wythenshawe and Sale East,Wythenshawe & Sale East,E14001602,646,NW,England,Borough,none,58.2,76971,44759,10396,23.23,Lab,Con,30.07,53.3,6.95,3.48,6.07,0,0,0.13
Yeovil,Yeovil,E14001603,647,SW,England,County,8.1,71.2,76056,54128,14638,27.04,Con,LD,58.15,6.32,31.11,2.8,0,0,0,1.62
Ynys Môn,Ynys Môn,W07000112,648,WA,Wales,County,none,69.7,52415,36552,1968,5.38,Con,Lab,35.45,30.07,0,0,5.98,0,28.5,0
York Central,York Central,E14001604,649,YH,England,Borough,4.7,66.9,74854,50102,14342,28.63,Lab,Con,27.78,56.4,7.82,4.19,2.43,0,0,1.38
York Outer,York Outer,E14001605,650,YH,England,County,4.7,75.3,72720,54750,10782,19.69,Con,Lab,49.63,29.94,18.67,0.02,0.48,0,0,1.26
