Boundary Comm name,PA name,ONS code,PANO,region_name,country_name,constituency_type,Index_of_change,"""turnout""",electorate,total_votes,majority,maj+pc,Win19,Second19,con_pc,lab_pc,ld_pc,green_pc,bxp_pc,snp_pc,plaid_pc,other_pc
South West Norfolk,Norfolk South West,E14001497,431,EE,England,County,12.3,66.3,72496,48049,24180,50.32,Con,Lab,68.65,18.33,8.25,3.02,0,0,0,1.74
Normanton and Hemsworth,Normanton & Hemsworth,E14001383,432,YH,England,County,29.9,57.5,75388,43367,3520,8.12,Lab,Con,31.43,39.55,4.22,1.8,15.24,0,0,7.75
North Down,North Down,N05000013,433,NI,Northern Ireland,County,4.7,60.7,70412,42757,2641,6.18,All,DUP,4.58,,,0,,,,0
Northampton North,Northampton North,E14001406,434,EM,England,Borough,34.1,67.5,75713,51084,3932,7.7,Con,Lab,49.77,42.08,5.69,2.46,0,0,0,0
Northampton South,Northampton South,E14001407,435,EM,England,Borough,73.2,69.4,71512,49608,13324,26.86,Con,Lab,57.76,30.9,7.92,3.42,0,0,0,0
South Northamptonshire,Northamptonshire South,E14001490,436,EM,England,County,43.6,72.9,76555,55827,23671,42.4,Con,Lab,63.18,20.78,11.11,3.8,0,0,0,1.14
North Northumberland,Northumberland North,E14001397,437,NE,England,County,30.9,72.7,72541,52740,17306,32.81,Con,Lab,55.93,23.12,16.09,3.4,1.47,0,0,0
Norwich North,Norwich North,E14001408,438,EE,England,Borough,7.8,70.6,71441,50423,6365,12.62,Con,Lab,51.56,38.93,6.23,2.27,0.04,0,0,0.97
Norwich South,Norwich South,E14001409,439,EE,England,Borough,2.4,70,73301,51308,12583,24.52,Lab,Con,29,53.53,9.45,4.83,3.19,0,0,0
Nottingham East,Nottingham East,E14001410,440,EM,England,Borough,13.7,59.5,75327,44806,18942,42.28,Lab,Con,20.84,63.11,6.3,3.11,3.41,0,0,3.23
Nottingham North and Kimberley,Nottingham North & Kimberley,E14001411,441,EM,England,Borough,47.1,57.8,74515,43037,2490,5.79,Lab,Con,40.22,46,3.75,2.48,5.63,0,0,1.91
Nottingham South,Nottingham South,E14001412,442,EM,England,Borough,34.5,59.3,76076,45126,10041,22.25,Lab,Con,31.56,53.81,6.72,3.29,4.63,0,0,0
Nuneaton,Nuneaton,E14001413,443,WM,England,Borough,none,64.2,70335,45190,13144,29.09,Con,Lab,60.61,31.52,4.12,3.74,0,0,0,0
Old Bexley and Sidcup,Old Bexley & Sidcup,E14001414,444,GL,England,Borough,11.9,69.8,74317,51867,20769,40.04,Con,Lab,63.93,23.89,8.3,3.45,0,0,0,0.44
Oldham East and Saddleworth,Oldham East & Saddleworth,E14001415,445,NW,England,County,none,63.2,72997,46164,1499,3.25,Lab,Con,40.27,43.51,5.25,1.69,6.46,0,0,2.83
