bc_name,pa_name,ons_code,PANO,region_name,country_name,constituency_type,index_of_change,turnout_19,electorate,total_votes,majority,maj_pc,Win19,Second19,con_19,lab_19,lib_19,green_19,bxp_19,snp_19,pc_19,other_19,gss_code,Leave.preds,Remain.preds,leave_hanretty,remain_hanretty
Weald of Kent,Weald of Kent,E14001570,612,SE,England,County,105.4,70.8,70110,49652,28751,57.91,Con,Lab,71.96,14.06,10.11,3.88,0,0,0,0,E14001570,29859.65693,23444.15713,56.01786187,43.982138129999996
Wellingborough and Rushden,Wellingborough & Rushden,E14001571,613,EM,England,County,18.9,61.4,76669,47044,16038,34.09,Con,Lab,62.35,28.26,6.67,2.71,0,0,0,0,E14001571,34057.71122,18464.47776,64.84442457,35.15557543
Wells and Mendip Hills,Wells & Mendip Hills,E14001572,614,SW,England,County,75.1,80.8,69843,56441,14295,25.33,Con,LD,56.13,10.77,30.8,1.17,0,0,0,1.14,E14001572,26029.40702,27707.75204,48.43837574,51.56162426
Welwyn Hatfield,Welwyn Hatfield,E14001573,615,EE,England,County,0.5,69.5,74535,51797,10773,20.8,Con,Lab,52.49,31.69,12.71,3.11,0,0,0,0,E14001573,29105.08133,26067.91641,52.75240158,47.247598419999996
West Bromwich,West Bromwich,E14001574,616,WM,England,Borough,73.2,57.3,72206,41377,2150,5.2,Con,Lab,47.32,42.12,3.55,1.91,3.78,0,0,1.32,E14001574,33235.15701,15756.267,67.83872418,32.16127582
West Ham and Beckton,West Ham & Beckton,E14001576,617,GL,England,Borough,63.5,57.3,70590,40430,21937,54.26,Lab,Con,16.44,70.7,6.06,2.53,2.77,0,0,1.5,E14001576,22139.67198,20435.278730000002,52.001638549999996,47.99836145
Westmorland and Lonsdale,Westmorland & Lonsdale,E14001580,618,NW,England,County,52.2,74.9,72322,54200,5140,9.48,Con,LD,50.16,6.92,40.68,0.53,1.11,0,0,0.6,E14001580,27611.85236,28920.81253,48.84229748,51.15770252
Weston-super-Mare,Weston-super-Mare,E14001581,619,SW,England,County,15.2,64.9,70722,45872,13310,29.02,Con,Lab,57.14,28.12,11.73,3.01,0,0,0,0,E14001581,29592.70273,19961.55796,59.71777668,40.28222332
Wetherby and Easingwold,Wetherby & Easingwold,E14001582,620,YH,England,County,109.9,76.1,71455,54397,27164,49.94,Con,Lab,68.19,18.25,7.91,3.93,0,0,0,1.72,E14001582,26246.56599,28396.37396,48.03285844,51.967141559999995
Whitehaven and Workington,Whitehaven & Workington,E14001583,621,NW,England,County,65.5,67.3,73385,49369,2144,4.34,Con,Lab,48.42,44.08,3.96,1.23,1.52,0,0,0.8,E14001583,32289.57211,18849.31198,63.14093999,36.85906001
Widnes and Halewood,Widnes & Halewood,E14001584,622,NW,England,County,65.1,66.6,70865,47209,21542,45.63,Lab,Con,20.82,66.45,2.78,2.34,7.61,0,0,0,E14001584,24850.13803,20873.42295,54.348649800000004,45.6513502
Wigan,Wigan,E14001585,623,NW,England,County,NA,59.6,75607,45042,6728,14.94,Lab,Con,31.78,46.72,5.39,2.88,13.23,0,0,0,E14001585,31638.15216,19716.87647,61.60672674999999,38.39327325
East Wiltshire,Wiltshire East,E14001217,624,SW,England,County,69.3,68.9,71109,48988,24523,50.06,Con,Lab,65.94,15.88,14.49,3.69,0,0,0,0,E14001217,31088.3531,25738.53833,54.707115449999996,45.292884550000004
South West Wiltshire,Wiltshire South West,E14001498,625,SW,England,County,18.6,66,71551,47237,17378,36.79,Con,Lab,58.31,21.53,16.48,3.68,0,0,0,0,E14001498,30964.95909,23059.12172,57.316956860000005,42.683043139999995
Wimbledon,Wimbledon,E14001586,626,GL,England,Borough,29.6,76.2,74641,56872,839,1.48,Con,LD,39.77,20.81,38.29,0.24,0.24,0,0,0.64,E14001586,17594.95211,42406.20438,29.324354969999998,70.67564503
Winchester,Winchester,E14001587,627,SE,England,County,47.3,83.5,76577,63911,9050,14.16,Con,LD,54.02,4.76,39.86,0.92,0,0,0,0.46,E14001587,24477.43656,37218.65435,39.67420983,60.325790170000005
Windsor,Windsor,E14001588,628,SE,England,County,55.8,67.3,74338,50031,18247,36.47,Con,Lab,56.04,19.57,18.87,3.46,0.3,0,0,1.77,E14001588,26705.9063,28205.75851,48.63430455,51.365695450000004
Wirral West,Wirral West,E14001589,629,NW,England,County,51.3,77.7,72126,56046,455,0.81,Lab,Con,44.36,45.17,5.72,2.53,2.22,0,0,0,E14001589,23016.39767,34781.705,39.82206441,60.17793559
Witham,Witham,E14001590,630,EE,England,County,11.8,69.4,75064,52105,25669,49.26,Con,Lab,66.74,17.48,10.01,5.77,0,0,0,0,E14001590,34982.79577,22978.54522,60.35539407,39.64460593
Witney,Witney,E14001591,631,SE,England,County,59,69.7,70042,48839,15674,32.09,Con,LD,58.06,15.4,25.96,0,0.02,0,0,0.56,E14001591,25140.36411,28361.41035,46.98977625,53.010223749999994
Woking,Woking,E14001592,632,SE,England,Borough,5.9,70.4,71737,50475,8683,17.2,Con,LD,48.26,16.73,31.05,2.77,0,0,0,1.19,E14001592,24214,31007,43.84926025,56.15073975
Wokingham,Wokingham,E14001593,633,SE,England,County,83.8,78.3,70235,55012,12750,23.18,Con,LD,55.49,9.86,32.31,2.2,0,0,0,0.15,E14001593,23288.16085,33583.16233,40.94886411,59.05113589
Wolverhampton North East,Wolverhampton North East,E14001594,634,WM,England,Borough,44.4,56.2,70449,39564,7847,19.83,Con,Lab,55.69,35.86,3.57,1.83,3.05,0,0,0,E14001594,33339.58209,14492.57105,69.7011945,30.298805499999997
Wolverhampton South East,Wolverhampton South East,E14001595,635,WM,England,Borough,77.6,50.5,75685,38227,2373,6.21,Lab,Con,41.18,47.39,3.81,1.7,5.92,0,0,0,E14001595,34097.6265,14707.18656,69.86529474999999,30.13470525
Wolverhampton West,Wolverhampton West,E14001596,636,WM,England,Borough,26.4,67.4,75592,50938,934,1.83,Con,Lab,47.37,45.54,4.36,0.24,2.48,0,0,0,E14001596,30434.5848,24255.42189,55.649261429999996,44.35073857
Worcester,Worcester,E14001597,637,WM,England,Borough,NA,68.8,73928,50898,6758,13.28,Con,Lab,50.8,37.52,7.2,3.33,0,0,0,1.15,E14001597,29114,25125,53.67724331,46.32275669
West Worcestershire,Worcestershire West,E14001579,638,WM,England,Borough,NA,75.1,76638,57530,24499,42.58,Con,LD,60.68,16.51,18.09,4.72,0,0,0,0,E14001579,31657.88639,28565.24334,52.56765387,47.43234613
Worsley and Eccles,Worsley & Eccles,E14001598,639,NW,England,County,74.1,64.4,76915,49563,3961,7.99,Lab,Con,38.53,46.52,5.26,2.54,7.14,0,0,0,E14001598,29360.56212,19612.68855,59.952242749999996,40.04775725
East Worthing and Shoreham,Worthing East & Shoreham,E14001218,640,SE,England,County,NA,70.4,75466,53128,7474,14.07,Con,Lab,51.02,36.95,7.77,3.78,0,0,0,0.48,E14001218,30904.69033,26507.9796,53.82904221,46.17095779
Worthing West,Worthing West,E14001599,641,SE,England,County,25.5,68.9,76293,52560,13912,26.47,Con,Lab,56,29.53,9.92,3.62,0,0,0,0.93,E14001599,31056.17028,25649.99885,54.7668283,45.2331717
The Wrekin,"Wrekin, The",E14001543,642,WM,England,Borough,11.2,68.9,76143,52432,21173,40.38,Con,Lab,64.71,24.33,8.03,2.93,0,0,0,0,E14001543,33781.46906,22722.07277,59.78646288,40.21353712
Wrexham,Wrexham,W07000111,643,WA,Wales,County,42.4,66.4,70964,47123,3939,8.36,Con,Lab,46.54,38.19,4.27,0.94,3.77,0,6.28,0,W07000111,29828.75451,22321.27982,57.19795758,42.80204242
Wycombe,Wycombe,E14001600,644,SE,England,County,17.6,65.3,71769,46892,1494,3.19,Con,Lab,43.11,39.92,11.32,2.58,0,0,0,3.07,E14001600,23007.97096,24769.87796,48.15614659,51.843853409999994
Wyre Forest,Wyre Forest,E14001601,645,WM,England,Borough,NA,65.7,77015,50561,21413,42.35,Con,Lab,65.19,22.84,8.07,3.9,0,0,0,0,E14001601,36392,21240,63.14547474,36.854525259999996
Wythenshawe and Sale East,Wythenshawe & Sale East,E14001602,646,NW,England,Borough,NA,58.2,76971,44759,10396,23.23,Lab,Con,30.07,53.3,6.95,3.48,6.07,0,0,0.13,E14001602,24200.25378,26551.90406,47.68320169,52.31679831
Yeovil,Yeovil,E14001603,647,SW,England,County,8.1,71.2,76056,54128,14638,27.04,Con,LD,58.15,6.32,31.11,2.8,0,0,0,1.62,E14001603,35721.19811,24229.29886,59.5844904,40.4155096
Ynys Môn,Ynys Môn,W07000112,648,WA,Wales,County,NA,69.7,52415,36552,1968,5.38,Con,Lab,35.45,30.07,0,0,5.98,0,28.5,0,W07000112,19333,18618,50.942004159999996,49.057995840000004
York Central,York Central,E14001604,649,YH,England,Borough,4.7,66.9,74854,50102,14342,28.63,Lab,Con,27.78,56.4,7.82,4.19,2.43,0,0,1.38,E14001604,20369.30136,31631.36574,39.17123087,60.828769130000005
York Outer,York Outer,E14001605,650,YH,England,County,4.7,75.3,72720,54750,10782,19.69,Con,Lab,49.63,29.94,18.67,0.02,0.48,0,0,1.26,E14001605,25613.69864,31985.63426,44.468741820000005,55.531258179999995
