bc_name,pa_name,ons_code,PANO,region_name,country_name,constituency_type,index_of_change,turnout_19,electorate,total_votes,majority,maj_pc,Win19,Second19,con_19,lab_19,lib_19,green_19,bxp_19,snp_19,pc_19,other_19,gss_code,Leave.preds,Remain.preds,leave_hanretty,remain_hanretty
Barnsley North,Barnsley North,E14001074,30,YH,England,County,38.6,57.9,76794,44480,4002,8.9973,Lab,Brexit,23.97,38.54,3.57,2.36,29.54,0,0,2.02,E14001074,35913.4371,15903.1756,69.30873174999999,30.691268249999997
Barnsley South,Barnsley South,E14001075,31,YH,England,County,61.4,49.4,75896,37508,4720,12.584,Lab,Brexit,22.65,41.82,3.5,2.06,29.23,0,0,0.74,E14001075,36678.83674,14734.22938,71.34146921,28.658530789999997
Barrow and Furness,Barrow & Furness,E14001076,32,NW,England,County,11.5,65.3,76603,50047,7436,14.86,Con,Lab,53.05,38.19,4.51,1.54,2.71,0,0,0,E14001076,31347.40132,22199.07583,58.54241584,41.457584159999996
Basildon and Billericay,Basildon & Billericay,E14001077,33,EE,England,Borough,9.7,60.9,76993,46853,20749,44.29,Con,Lab,65.88,21.6,8.42,2.98,0,0,0,1.12,E14001077,36801.52708,18681.32426,66.32955262,33.67044738
South Basildon and East Thurrock,Basildon South & East Thurrock,E14001480,34,EE,England,County,20.7,61,73322,44729,18731,41.88,Con,Lab,65.44,23.56,4.1,0.15,0,0,0,6.74,E14001480,38192.16243,13380.54061,74.05499456,25.945005440000003
Basingstoke,Basingstoke,E14001078,35,SE,England,Borough,21.1,66.4,77050,51181,12301,24.03,Con,Lab,52.69,28.65,13.28,3.92,0,0,0,1.46,E14001078,31799.38924,25847.48423,55.16238319,44.83761681
Bassetlaw,Bassetlaw,E14001079,36,EM,England,County,4.3,62.9,75773,47677,12588,26.4,Con,Lab,54.41,28.01,6.73,0,10.85,0,0,0,E14001079,38259.22373,17308.83182,68.85111122,31.14888878
Bath,Bath,E14001080,37,SW,England,County,8.5,77.7,73241,56876,12125,21.32,LD,Con,32.09,12.52,53.41,0.26,1.13,0,0,0.6,E14001080,18255.96914,36434.38215,33.38060317,66.61939683
Bathgate and Linlithgow,Bathgate & Linlithgow,S14000068,38,SC,Scotland,County,37.3,65.9,71650,47217,8671,18.36,SNP,Con,24.64,18.79,8.22,2.18,1.91,43.01,0,1.25,S14000068,19343.08766,27822.561420000002,41.010964630000004,58.989035369999996
Battersea,Battersea,E14001081,39,GL,England,Borough,9.3,76.3,71949,54918,6026,10.97,Lab,Con,35.38,46.35,15.14,2.48,0.64,0,0,0,E14001081,11383.48598,39168.10431,22.51855167,77.48144833
Beaconsfield,Beaconsfield,E14001082,40,SE,England,County,7.9,72.8,72315,52633,13772,26.17,Con,Other,55.5,9.9,0,3.68,0,0,0,30.92,E14001082,27872.38969,28189.28618,49.71736799,50.28263200999999
Beckenham and Penge,Beckenham & Penge,E14001083,41,GL,England,Borough,84,78.5,76625,60142,631,1.05,Lab,Con,39.05,40.1,16.06,4.02,0.77,0,0,0,E14001083,23896.91379,33474.97341,41.65265421,58.347345790000006
Bedford,Bedford,E14001084,42,EE,England,Borough,3.3,66.5,70068,46603,1113,2.39,Lab,Con,41.95,44.34,10.03,1.98,1.7,0,0,0,E14001084,24387.05392,22369.95943,52.15699672,47.843003280000005
Mid Bedfordshire,Bedfordshire Mid,E14001359,43,EE,England,County,19.3,71.5,71748,51325,20509,39.96,Con,Lab,60.47,20.51,12.51,3.89,0,0,0,2.63,E14001359,30121.029450000002,25292.31323,54.35699778000001,45.64300222
North Bedfordshire,Bedfordshire North,E14001384,44,EE,England,County,28.2,73.6,76319,56202,23631,42.05,Con,Lab,61.14,19.09,13.17,2.82,0.18,0,0,3.6,E14001384,28976.27623,25555.15547,53.136833800000005,46.8631662
Belfast East,Belfast East,N05000001,45,NI,Northern Ireland,Borough,14.8,64.4,70076,45126,2626,5.82,DUP,All,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
Belfast North,Belfast North,N05000002,46,NI,Northern Ireland,Borough,14.4,67.4,71372,48140,3739,7.77,SF,DUP,0.01,NA,NA,0,NA,NA,NA,0.12,NA,NA,NA,NA,NA
Belfast South and Mid Down,Belfast South & Mid Down,N05000003,47,NI,Northern Ireland,Borough,22.3,66.2,71978,47669,13322,27.95,SDLP,DUP,0.35,NA,NA,0.15,NA,NA,NA,1.19,NA,NA,NA,NA,NA
Belfast West,Belfast West,N05000004,48,NI,Northern Ireland,Borough,17.5,59.6,71921,42899,12997,30.3,SF,DUP,0.1,NA,NA,0,NA,NA,NA,14.12,NA,NA,NA,NA,NA
Bermondsey and Old Southwark,Bermondsey & Old Southwark,E14001085,49,GL,England,Borough,25.3,65,70602,45885,8515,18.56,Lab,LD,16.8,49.64,31.08,0.05,2.43,0,0,0,E14001085,14618.61087,38092.05361,27.73368731,72.26631269
"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh & Selkirk",S14000008,50,SC,Scotland,County,NA,71.2,74687,53146,5148,9.69,Con,SNP,48.45,4.73,8.07,0,0,38.76,0,0,S14000008,22861.92638,29747.17979,43.45621517,56.54378483
Bethnal Green and Stepney,Bethnal Green & Stepney,E14001086,51,GL,England,Borough,35.8,64.9,77000,49951,31655,63.37,Lab,Con,10.14,73.51,9.28,4.21,1.99,0,0,0.88,E14001086,15374.27424,31119.32939,33.067504,66.932496
Beverley and Holderness,Beverley & Holderness,E14001087,52,YH,England,County,10.6,69.6,71102,49483,17976,36.33,Con,Lab,60.99,24.66,9.25,2.49,0,0,0,2.6,E14001087,31688.55469,23188.88807,57.744226219999994,42.25577378
Bexhill and Battle,Bexhill & Battle,E14001088,53,SE,England,County,26.1,70.2,70869,49737,20384,40.98,Con,Lab,61.76,20.77,13.39,4.08,0,0,0,0,E14001088,32204.63821,22598.7359,58.763969800000005,41.2360302
Bexleyheath and Crayford,Bexleyheath & Crayford,E14001089,54,GL,England,Borough,33.1,67.6,69948,47300,15038,31.79,Con,Lab,60.78,28.99,5.99,2.26,0.88,0,0,1.1,E14001089,34310.54016,18117.48749,65.44312594,34.55687406
Bicester and Woodstock,Bicester & Woodstock,E14001090,55,SE,England,County,99.7,73.9,70389,51991,14205,27.32,Con,LD,53.91,16.85,26.59,2.36,0.29,0,0,0,E14001090,27002.06175,28053.48931,49.04512121,50.95487879
Birkenhead,Birkenhead,E14001091,56,NW,England,Borough,18.7,67.9,76271,51762,22993,44.42,Lab,Con,15.58,60,3.98,3,3.37,0,0,14.07,E14001091,26265.77136,24822.97196,51.41205216,48.58794784
Birmingham Edgbaston,Birmingham Edgbaston,E14001092,57,WM,England,Borough,13.6,63.9,71354,45599,7691,16.87,Lab,Con,35.45,52.32,7.25,2.57,2.4,0,0,0,E14001092,22722.31673,25344.43834,47.27241666,52.727583339999995
Birmingham Erdington,Birmingham Erdington,E14001093,58,WM,England,Borough,18.4,54,76856,41499,3305,7.96,Lab,Con,41.48,49.44,3.25,1.8,4.03,0,0,0,E14001093,28322.67105,19347.23922,59.41414801,40.58585199
Birmingham Hall Green and Moseley,Birmingham Hall Green & Moseley,E14001094,59,WM,England,Borough,15.8,68.3,75781,51739,26507,51.23,Lab,Con,15.02,66.25,7.16,1.68,1.93,0,0,7.96,E14001094,16368.51097,25326.40744,39.2578079,60.742192100000004
Birmingham Hodge Hill and Solihull North,Birmingham Hodge Hill & Solihull North,E14001095,60,WM,England,Borough,73.6,53.7,76922,41294,12951,31.36,Lab,Con,28.56,59.92,4.33,3.49,3.08,0,0,0.62,E14001095,32759.50659,22122.50158,59.690794270000005,40.309205729999995
Birmingham Ladywood,Birmingham Ladywood,E14001096,61,WM,England,Borough,64.6,58.2,76585,44535,32583,73.16,Lab,Con,9.84,83,2.77,1.85,2.2,0,0,0.35,E14001096,17201.55869,25372.53152,40.40381981,59.596180190000005
Birmingham Northfield,Birmingham Northfield,E14001097,62,WM,England,Borough,3,59.5,73483,43692,1478,3.38,Con,Lab,46.08,42.7,4.61,2.22,3.8,0,0,0.58,E14001097,26929.43007,20020.96778,57.357192479999995,42.64280752
Birmingham Perry Barr,Birmingham Perry Barr,E14001098,63,WM,England,Borough,37.9,63.4,74048,46915,22325,47.59,Lab,Con,20.42,68.01,6.53,1.88,2.84,0,0,0.32,E14001098,21701.17738,21580.47732,50.139435590000005,49.86056441
Birmingham Selly Oak,Birmingham Selly Oak,E14001099,64,WM,England,Borough,5.8,63.4,76285,48347,11645,24.09,Lab,Con,31.63,55.71,6.24,3.69,2.73,0,0,0,E14001099,20948.04231,21591.07473,49.24418692,50.75581308
Birmingham Yardley,Birmingham Yardley,E14001100,65,WM,England,Borough,32,58.3,71912,41906,13141,31.36,Lab,Con,26.75,58.1,8.93,1.2,5.02,0,0,0,E14001100,24265.09171,17938.38711,57.4954776,42.5045224
Bishop Auckland,Bishop Auckland,E14001101,66,NE,England,County,52.9,69.9,70879,49511,8113,16.39,Con,Lab,53,36.61,3.6,0.61,5.53,0,0,0.66,E14001101,28272.53989,19244.1092,59.50028134000001,40.49971866
Blackburn,Blackburn,E14001102,67,NW,England,Borough,3.1,61.8,70586,43645,18616,42.65,Lab,Con,23.33,65.98,2.42,1.6,5.93,0,0,0.73,E14001102,23590.07207,18876.24708,55.55007483999999,44.44992516
Blackley and Middleton South,Blackley & Middleton South,E14001103,68,NW,England,Borough,75.7,52.6,71375,37548,11558,30.78,Lab,Con,28.23,59.01,3.01,2.03,7.72,0,0,0,E14001103,24462.59522,18600.91733,56.805852030000004,43.19414797
Blackpool North and Fleetwood,Blackpool North & Fleetwood,E14001104,69,NW,England,Borough,80.1,66.4,75396,50048,10119,20.22,Con,Lab,55.84,35.62,4.04,1.91,1.71,0,0,0.89,E14001104,35939.27429,17096.18237,67.7646174,32.2353826
Blackpool South,Blackpool South,E14001105,70,NW,England,Borough,33.7,55.8,76071,42414,3700,8.72,Con,Lab,48.84,40.12,3.53,1.91,4.74,0,0,0.87,E14001105,33129.06225,16378.50467,66.91716905,33.082830949999995
Blaenau Gwent and Rhymney,Blaenau Gwent & Rhymney,W07000084,71,WA,Wales,County,39.6,59.2,71079,42094,12969,30.81,Lab,Con,19.59,50.4,3.74,0.99,17.99,0,6.38,0.9,W07000084,31317.99083,17995.37467,63.508118970000005,36.49188103
Blaydon and Consett,Blaydon & Consett,E14001106,72,NE,England,County,99.2,66.9,70163,46965,4285,9.12,Lab,Con,34.86,43.98,4.57,3.03,9.7,0,0,3.87,E14001106,25330.48278,21853.2373,53.68479368,46.31520632
Blyth and Ashington,Blyth & Ashington,E14001107,73,NE,England,County,72.1,57,75452,42990,6118,14.23,Lab,Con,33.45,47.69,6.42,2.9,9.12,0,0,0.41,E14001107,30482.00757,17952.43597,62.934567509999994,37.06543249
Bognor Regis and Littlehampton,Bognor Regis & Littlehampton,E14001108,74,SE,England,Borough,29.8,68.2,76985,52510,22682,43.2,Con,Lab,62.17,18.97,13.29,3.26,0,0,0,2.31,E14001108,36290.85187,20565.38205,63.82915183,36.17084817
Bolsover,Bolsover,E14001109,75,EM,England,County,0.8,61.2,74680,45676,5273,11.54,Con,Lab,47.71,36.17,3.81,1.57,8.58,0,0,2.16,E14001109,37158.29573,15523.23541,70.53381882000001,29.46618118
Bolton North East,Bolton North East,E14001110,76,NW,England,Borough,14.4,64.7,77020,49844,1278,2.56,Con,Lab,45.01,42.45,4.39,1.61,6.54,0,0,0,E14001110,31402.91287,22564.07308,58.18911751,41.81088249
Bolton South and Walkden,Bolton South & Walkden,E14001111,77,NW,England,Borough,66.5,58.1,75716,43984,10929,24.85,Lab,Con,31.74,56.59,3.85,2.45,5.37,0,0,0,E14001111,29909.1918,17684.28159,62.84305319,37.15694681
Bolton West,Bolton West,E14001112,78,NW,England,County,28.6,69.1,72125,49868,10619,21.29,Con,Lab,56.54,35.25,5.64,1.79,0.77,0,0,0,E14001112,28749.27457,23127.57968,55.41830743,44.58169257
Bootle,Bootle,E14001113,79,NW,England,Borough,NA,65.4,75194,49174,34556,70.27,Lab,Con,9.17,79.44,3.71,2.37,5.31,0,0,0,E14001113,29054.03866,23892.43414,54.87436107,45.12563893
Boston and Skegness,Boston & Skegness,E14001114,80,EM,England,County,9.2,59.4,75806,45018,27402,60.87,Con,Lab,76.43,15.56,4.84,0,0,0,0,3.17,E14001114,41682.97525,13024.85775,76.19196917,23.80803083
Bournemouth East,Bournemouth East,E14001115,81,SW,England,Borough,0.1,67.4,73173,49328,8817,17.87,Con,Lab,50.59,32.72,10.98,4.16,0,0,0,1.54,E14001115,26216.79843,24252.58562,51.945944909999994,48.05405509
Bournemouth West,Bournemouth West,E14001116,82,SW,England,Borough,7.6,63.5,72094,45752,9941,21.73,Con,Lab,53.58,31.85,10.06,4.52,0,0,0,0,E14001116,29625.43835,20573.05124,59.01659311,40.983406890000005
Bracknell,Bracknell,E14001117,83,SE,England,Borough,26.4,66.7,70247,46888,14129,30.13,Con,Lab,55.5,25.36,13.98,3.98,0,0,0,1.18,E14001117,29218.46256,24517.60583,54.374023699999995,45.6259763
Bradford East,Bradford East,E14001118,84,YH,England,Borough,2.1,59.6,72150,43036,17761,41.27,Lab,Con,21.71,62.98,7.67,1.48,6.15,0,0,0,E14001118,24862.48087,19758.25219,55.71957063000001,44.28042937
Bradford South,Bradford South,E14001119,85,YH,England,Borough,2.3,57.7,70890,40889,2729,6.67,Lab,Con,40.06,46.74,3.71,2.46,7.02,0,0,0,E14001119,28952.53086,16315.78919,63.95759955,36.04240045
Bradford West,Bradford West,E14001120,86,YH,England,Borough,NA,62.1,71258,44261,27019,61.04,Lab,Con,15.18,76.22,3.05,1.84,3.52,0,0,0.2,E14001120,19377.61124,19986.97297,49.22600258,50.77399742000001
Braintree,Braintree,E14001121,87,EE,England,County,18.2,68.3,75662,51675,25466,49.28,Con,Lab,67.47,18.18,9.7,0.45,0,0,0,4.2,E14001121,35931.28441,23551.14787,60.40654867000001,39.59345133
"Brecon, Radnor and Cwm Tawe","Brecon, Radnor & Cwm Tawe",W07000085,88,WA,Wales,County,33.9,72.5,72113,52276,9091,17.39,Con,LD,46.61,17.53,29.22,0.42,1.84,0,3.24,1.13,W07000085,28649.28813,26158.84893,52.271961190000006,47.72803881
Brent East,Brent East,E14001122,89,GL,England,Borough,53.7,58,75880,44017,17756,40.34,Lab,Con,23.5,63.84,9.02,3.24,0.4,0,0,0,E14001122,21306.69982,29412.52877,42.00911648,57.990883520000004
Brent West,Brent West,E14001123,90,GL,England,Borough,44.7,63.3,76463,48407,9431,19.48,Lab,Con,33.8,53.28,9.11,1.71,1.55,0,0,0.56,E14001123,17620.37439,24702.43915,41.63327746,58.366722540000005
Brentford and Isleworth,Brentford & Isleworth,E14001124,91,GL,England,Borough,44.6,67.6,76354,51615,11369,22.03,Lab,Con,28.3,50.33,16.32,2.98,2.06,0,0,0,E14001124,22445.22842,27379.21506,45.04862845,54.951371550000005
Brentwood and Ongar,Brentwood & Ongar,E14001125,92,EE,England,County,0.2,70.5,74937,52816,28974,54.86,Con,Lab,68.54,13.69,13.59,3.17,0,0,0,1.01,E14001125,36033.72549,22997.13538,61.04218193,38.95781807
Bridgend,Bridgend,W07000086,93,WA,Wales,County,46.2,66,70770,46708,2553,5.47,Con,Lab,43.96,38.49,5.25,1.86,5.22,0,5.23,0,W07000086,25219.67884,24645.94289,50.575282050000006,49.42471795
Bridgwater,Bridgwater,E14001126,94,SW,England,County,60.5,63,71418,45004,16724,37.16,Con,Lab,57.9,20.74,17.63,2.06,0,0,0,1.68,E14001126,33327.05834,18312.07415,64.53837765,35.46162235
Bridlington and the Wolds,Bridlington & the Wolds,E14001127,95,YH,England,County,31.1,64.1,72501,46440,21685,46.69,Con,Lab,66.57,19.88,7.49,2.85,0,0,0,3.21,E14001127,33538.97227,18030.64711,65.0362998,34.9637002
Brigg and Immingham,Brigg & Immingham,E14001128,96,YH,England,County,65.8,66,71628,47245,24444,51.74,Con,Lab,71.94,20.2,4.38,2.78,0.7,0,0,0,E14001128,34081.565,15692.27452,68.47284703999999,31.52715296
Brighton Kemptown and Peacehaven,Brighton Kemptown & Peacehaven,E14001129,97,SE,England,Borough,1.6,70.8,69865,49430,8280,16.75,Lab,Con,34.43,51.18,6,5.69,2.7,0,0,0,E14001129,20291.8661,27643.1474,42.33203377,57.66796623
Brighton Pavilion,Brighton Pavilion,E14001130,98,SE,England,Borough,1.5,75.4,75722,57101,19630,34.38,Green,Lab,17.74,22.67,0,57.05,1.33,0,0,1.21,E14001130,15934.56878,41121.7332,27.92779803,72.07220197000001
Bristol Central,Bristol Central,E14001131,99,SW,England,Borough,29.7,73.2,70227,51427,16696,32.47,Lab,Green,14.34,58.48,0,26.02,1.15,0,0,0,E14001131,7256.740835,33695.61499,17.719959420000002,82.28004058
Bristol East,Bristol East,E14001132,100,SW,England,Borough,79.7,72.8,75936,55286,19393,35.08,Lab,Con,23.31,58.39,6.95,8.44,2.92,0,0,0,E14001132,23376.01702,27350.7125,46.082247450000004,53.917752549999996
Bristol North East,Bristol North East,E14001133,101,SW,England,Borough,116.4,70.1,69793,48905,5464,11.17,Lab,Con,39.12,50.3,5.1,3.98,1.49,0,0,0,E14001133,24092.1562,22940.51646,51.22429757,48.77570243
Bristol North West,Bristol North West,E14001134,102,SW,England,Borough,23.7,76.1,76783,58405,7235,12.39,Lab,Con,36.49,48.88,8.11,6.38,0.14,0,0,0,E14001134,21430.40005,37669.44076,36.26134987,63.738650129999996
Bristol South,Bristol South,E14001135,103,SW,England,Borough,11.7,64.6,74696,48268,9077,18.81,Lab,Con,32.82,51.62,6.24,5.07,4.26,0,0,0,E14001135,25050.64653,29046.5536,46.30673393,53.69326607
Broadland and Fakenham,Broadland & Fakenham,E14001136,104,EE,England,County,6.7,72.4,72907,52814,19825,37.54,Con,Lab,59.15,21.61,16.06,2.5,0,0,0,0.69,E14001136,30539.07738,25876.40228,54.13244302,45.86755698
Bromley and Biggin Hill,Bromley & Biggin Hill,E14001137,105,GL,England,Borough,98.3,69.7,70418,49058,14380,29.31,Con,Lab,54.45,25.13,15.98,3.68,0,0,0,0.76,E14001137,26565.04587,26598.70002,49.96834859,50.03165141
Bromsgrove,Bromsgrove,E14001138,106,WM,England,Borough,NA,72.1,75305,54272,23106,42.57,Con,Lab,63.4,20.82,12.49,3.29,0,0,0,0,E14001138,32563,26252,55.36512794,44.63487206
Broxbourne,Broxbourne,E14001139,107,EE,England,County,15.3,63.2,75454,47675,19192,40.26,Con,Lab,64.24,23.99,9,2.77,0,0,0,0,E14001139,36966.08224,19622.7772,65.32395706,34.67604294
Broxtowe,Broxtowe,E14001140,108,EM,England,County,33,73.6,72461,53321,3819,7.16,Con,Lab,45.17,38,0.51,3.01,0.68,0,0,12.63,E14001140,30339.32883,25464.45952,54.36786592,45.63213408
Buckingham and Bletchley,Buckingham & Bletchley,E14001141,109,SE,England,County,91.5,71.4,73644,52609,13345,25.37,Con,Lab,53.06,27.69,15.43,1.2,0.97,0,0,1.66,E14001141,30970.6523,24089.57261,56.2486847,43.7513153
Mid Buckinghamshire,Buckinghamshire Mid,E14001360,110,SE,England,County,114.3,75.1,72240,54223,22648,41.77,Con,LD,61.45,15.28,19.68,2.72,0.86,0,0,0,E14001360,26827.0317,29942.0083,47.256447699999995,52.7435523
Burnley,Burnley,E14001142,111,NW,England,County,16.1,62.4,75436,47102,127,0.27,Con,Lab,40.46,40.19,7.67,1.8,7.14,0,0,2.75,E14001142,32454.24173,16634.24662,66.11375256999999,33.88624743
Burton and Uttoxeter,Burton & Uttoxeter,E14001143,112,WM,England,Borough,NA,64.6,75460,48738,14496,29.74,Con,Lab,60.65,30.91,5.5,2.94,0,0,0,0,E14001143,34987.25053,19126.14317,64.65543581,35.34456419
Bury North,Bury North,E14001144,113,NW,England,Borough,12.6,69.4,77009,53470,1282,2.4,Con,Lab,47.29,44.89,3.07,1.76,2.7,0,0,0.3,E14001144,28931.3298,24539.30914,54.106946119999996,45.893053880000004
Bury South,Bury South,E14001145,114,NW,England,Borough,23.2,66.5,74598,49634,935,1.88,Con,Lab,43.47,41.58,6.16,1.81,3.72,0,0,3.25,E14001145,29097.88343,25674.08112,53.12550621,46.87449379
Bury St Edmunds and Stowmarket,Bury St Edmunds & Stowmarket,E14001146,115,EE,England,County,33.2,69.4,75655,52481,22085,42.08,Con,Lab,62.92,20.84,1.08,12.42,0,0,0,2.73,E14001146,29745.97971,24687.20485,54.64677467,45.35322533
Caerfyrddin,Caerfyrddin,W07000087,116,WA,Wales,County,57.6,73.4,72683,53342,4529,8.49,Con,PC,39.16,25.08,1.29,0,3.79,0,30.67,0,W07000087,28409.77914,26155.34832,52.06581651,47.934183489999995
Caerphilly,Caerphilly,W07000088,117,WA,Wales,County,30.8,62.2,72458,45069,6901,15.31,Lab,Con,28.58,43.89,0.72,0.36,11.73,0,14.71,0,W07000088,27577.04543,22823.36111,54.715918620000004,45.28408138
"Caithness, Sutherland and Easter Ross","Caithness, Sutherland & Easter Ross",S14000069,118,SC,Scotland,County,60.2,70.1,75173,52720,2788,5.29,SNP,LD,17.33,5.31,33.59,0.64,2.86,38.88,0,1.38,S14000069,25014.47952,27180.29168,47.92525946,52.07474054
Calder Valley,Calder Valley,E14001147,119,YH,England,County,3.6,74.3,75987,56454,5107,9.05,Con,Lab,51.35,42.31,5.06,0,0,0,0,1.28,E14001147,27961.98709,26371.73476,51.46341193,48.53658807
Camborne and Redruth,Camborne & Redruth,E14001148,120,SW,England,County,19.6,70.1,73568,51581,9848,19.09,Con,Lab,53.26,34.17,8.47,2.79,0,0,0,1.31,E14001148,29445.21028,22282.36372,56.92362506999999,43.07637493
Cambridge,Cambridge,E14001149,121,EE,England,Borough,7.6,68.6,72560,49740,8099,16.28,Lab,LD,14.76,47.45,31.16,4.16,1.93,0,0,0.54,E14001149,12268.75567,36258.59815,25.28214441,74.71785559
North East Cambridgeshire,Cambridgeshire North East,E14001390,122,EE,England,County,15.7,63,70806,44584,25779,57.82,Con,Lab,73.87,16.05,6.71,3.37,0,0,0,0,E14001390,37571,15055,71.3924676,28.607532400000004
North West Cambridgeshire,Cambridgeshire North West,E14001401,123,EE,England,County,25.1,63.9,73556,47032,17032,36.21,Con,Lab,59.96,23.75,11,5.24,0.05,0,0,0,E14001401,30493.06953,20724.7903,59.53600879,40.46399121
South Cambridgeshire,Cambridgeshire South,E14001481,124,EE,England,County,62.2,79.6,75484,60078,1498,2.49,Con,LD,43.53,15.13,41.04,0.16,0.14,0,0,0,E14001481,24019.79402,36600.70819,39.62321846,60.37678154
Cannock Chase,Cannock Chase,E14001150,125,WM,England,Borough,NA,61.3,75582,46313,19879,42.92,Con,Lab,68.31,25.39,0,6.3,0,0,0,0,E14001150,36894,16684,68.86035313,31.13964687
Canterbury,Canterbury,E14001151,126,SE,England,County,5.7,75.7,75499,57166,2160,3.78,Lab,Con,44.82,48.6,5.7,0,0,0,0,0.88,E14001151,27823.50726,30356.05321,47.82350887,52.17649113
Cardiff East,Cardiff East,W07000089,127,WA,Wales,Borough,63.9,64.6,72463,46781,17079,36.51,Lab,Con,22.7143,59.22,12.3,0.64,3.46,0,0.63,1.04,W07000089,20969.06557,27568.32994,43.201876309999996,56.798123690000004
Cardiff North,Cardiff North,W07000090,128,WA,Wales,Borough,4.3,76.9,71143,54709,7579,13.85,Lab,Con,35.74,49.59,6.55,1.5,2.65,0,3.45,0.53,W07000090,20363.88147,31275.9741,39.43442763,60.56557237
Cardiff South and Penarth,Cardiff South & Penarth,W07000091,129,WA,Wales,County,57.4,69.7,72269,50370,11851,23.53,Lab,Con,30.14,53.66,7,2.29,2.76,0,4.15,0,W07000091,16931.3503,27602.57901,38.01899038,61.98100962
Cardiff West,Cardiff West,W07000092,130,WA,Wales,Borough,8.9,70.2,73947,51941,10546,20.3,Lab,Con,29.85,50.15,5.29,2.2,3.69,0,8.51,0.31,W07000092,21285.15646,32941.08237,39.25250381,60.74749619000001
Carlisle,Carlisle,E14001152,131,NW,England,County,36.7,67.5,75868,51240,11290,22.03,Con,Lab,56.52,34.48,5,1.61,0,0,0,2.4,E14001152,33556.10374,21926.53304,60.480369509999996,39.519630490000004
Carshalton and Wallington,Carshalton & Wallington,E14001153,132,GL,England,Borough,NA,67.5,72755,49098,629,1.28,Con,LD,42.41,12.39,41.13,1.55,2.12,0,0,0.41,E14001153,29407.42377,23523.8378,55.55776095,44.44223905
Castle Point,Castle Point,E14001154,133,EE,England,Borough,2.3,63.8,70923,45217,27009,59.73,Con,Lab,76.54,16.81,6.64,0,0,0,0,0,E14001154,38584.01638,14423.61664,72.78954781,27.21045219
Ceredigion Preseli,Ceredigion Preseli,W07000093,134,WA,Wales,County,31.9,69.8,74063,51667,1443,2.79,PC,Con,28.26,20.77,14.63,1.28,3.99,0,31.05,0,W07000093,25109.78897,28110.03478,47.18127044,52.81872956
Chatham and Aylesford,Chatham & Aylesford,E14001157,135,SE,England,County,25.1,61.2,74840,45809,18992,41.46,Con,Lab,65.89,24.43,6.73,2.48,0,0,0,0.46,E14001157,34605.43404,18990.95013,64.56673258,35.43326742
Cheadle,Cheadle,E14001158,136,NW,England,Borough,NA,75.8,73775,55903,2336,4.18,Con,LD,45.96,12.26,41.78,0,0,0,0,0,E14001158,24085.46721,32431.09321,42.61665435,57.383345649999995
Chelmsford,Chelmsford,E14001159,137,EE,England,Borough,5.4,70.4,76454,53826,15416,28.64,Con,LD,54.71,18.15,26.07,0,0,0,0,1.08,E14001159,27648.41538,27765.1891,49.89463443,50.105365570000004
Chelsea and Fulham,Chelsea & Fulham,E14001160,138,GL,England,Borough,26.7,71.6,76481,54781,8993,16.42,Con,Lab,45.47,29.05,23.83,0.42,0.32,0,0,0.91,E14001160,15079.85572,37659.91685,28.592947949999996,71.40705205
Cheltenham,Cheltenham,E14001161,139,SW,England,Borough,5.9,75.5,75292,56883,1421,2.5,Con,LD,48.46,4.8,45.96,0,0,0,0,0.78,E14001161,23862.30213,32274.68678,42.50727122,57.49272878
Chesham and Amersham,Chesham & Amersham,E14001162,140,SE,England,County,36,72.4,74155,53711,18216,33.91,Con,LD,56.35,13.91,22.43,4.84,0,0,0,2.47,E14001162,26465.73078,32091.36884,45.1964509,54.803549100000005
Mid Cheshire,Cheshire Mid,E14001361,141,NW,England,County,116,67.2,69775,46907,2494,5.32,Con,Lab,46.95,41.63,8.39,1.96,1.07,0,0,0,E14001361,26333.62706,20293.04494,56.477603759999994,43.52239624
Chester North and Neston,Chester North & Neston,E14001163,142,NW,England,County,48.7,74.6,72327,53924,6391,11.85,Lab,Con,38.47,50.32,6.19,2.23,2.79,0,0,0,E14001163,22917.77568,27866.24279,45.12792877,54.872071229999996
Chester South and Eddisbury,Chester South & Eddisbury,E14001164,143,NW,England,County,83.6,76.7,71975,55209,20826,37.72,Con,Lab,59.23,21.51,15.3,2.11,1.03,0,0,0.82,E14001164,26259.89542,30720.83764,46.085569650000004,53.914430349999996
Chesterfield,Chesterfield,E14001165,144,EM,England,Borough,NA,63.9,70722,45186,1451,3.21,Lab,Con,37,40.21,8.82,2.54,10.56,0,0,0.87,E14001165,30616.49791,21110.5079,59.188614210000004,40.811385789999996
Chichester,Chichester,E14001166,145,SE,England,County,38.2,66.5,76765,51022,19622,38.46,Con,LD,58.76,15.39,20.3,4.9,0,0,0,0.65,E14001166,30903.94197,25565.73037,54.726618179999996,45.273381820000004
Chingford and Woodford Green,Chingford & Woodford Green,E14001167,146,GL,England,Borough,22.3,72.2,75677,54606,1604,2.94,Con,Lab,48.2,45.27,5.85,0.39,0.29,0,0,0,E14001167,26044.61486,25545.68724,50.48354787,49.51645213
