"","ons_code","pc_no_ed","pc_elem_ed","pc_losec_ed","pc_upsec_ed","pc_degree","pc_other_ed"
"1","E14001063",0.176655063191896,0.118616782178735,0.143903994313252,0.173843049936756,0.299432370558535,0.0875487398208256
"2","E14001064",0.219354671032968,0.106376619495016,0.142567541226463,0.172325965199537,0.27151638012813,0.0878588229178849
"3","E14001065",0.114933413891197,0.0717846084132618,0.122322080406817,0.14119024242882,0.486556906578053,0.0632127482818518
"4","E14001066",0.216867309256223,0.113813009105574,0.148195549867349,0.183857937047554,0.243237478169286,0.0940287165540135
"5","E14001067",0.141281082205017,0.0906199929059798,0.149769444342519,0.169412541738524,0.374466419599066,0.0744505192088944
"6","E14001068",0.244092963202066,0.120064557779212,0.159935442220788,0.175403486120077,0.208211749515817,0.09229180116204
"7","E14001069",0.173632303903663,0.117109898785187,0.156122965982868,0.175270122188314,0.293782181951007,0.0840825271889618
"8","E14001070",0.233741551396458,0.118009842544461,0.148443694855949,0.167864469924859,0.235025361543593,0.0969150797346792
"9","E14001071",0.156639516582995,0.106149551391777,0.142382850643905,0.168897262398474,0.346249727158891,0.0796810918239572
"10","E14001072",0.169655055677133,0.102552321996397,0.139065881584834,0.158241545660085,0.348220870763762,0.0822643243177889
"11","E14001073",0.222989860402739,0.102605002743178,0.12350395220775,0.135055777944852,0.34135289456038,0.0744925121411009
"12","E14001074",0.256276751685723,0.108378774552917,0.146690120199355,0.170847258868367,0.226995016124304,0.0908120785693345
"13","E14001075",0.27372596887397,0.115372878570926,0.147872115678036,0.16516044224314,0.201920142719654,0.0959484519142743
"14","E14001076",0.17594846450788,0.0947849819281552,0.130695089867473,0.197831378623589,0.276855744879644,0.123884340193258
"15","E14001077",0.202652858561498,0.13037310256774,0.164455951198752,0.168463611859838,0.255532699673713,0.0785217761384594
"16","E14001078",0.155837140735072,0.115606220881817,0.146474308478315,0.180819697958632,0.322983952645675,0.0782786793004884
