ons_code,pc_employed,pc_unemp,pc_student,pc_retired,pc_carer,pc_sick_disabled,pc_emp_other
E14001063,0.6362362927420788,0.0257367161121042,0.05095075318050198,0.1828749438120028,0.041479808908541624,0.027973782419167686,0.03474770282560291
E14001064,0.5502651003222788,0.02491163322590706,0.054267595384135565,0.2679592473230065,0.03998596527705583,0.03853051252728974,0.024079945940326437
E14001065,0.5891497262256907,0.021914532066209327,0.06383032286487507,0.2325885832966203,0.041701806281074956,0.027163446409465667,0.023651582856063943
E14001066,0.5608569295579374,0.021836506159014557,0.04213992427878206,0.2579054018023783,0.04239321708526636,0.04964539007092199,0.025222631045699356
E14001067,0.5338674168297456,0.017893835616438356,0.04811643835616438,0.31345401174168297,0.042367906066536204,0.0224192759295499,0.021881115459882583
E14001068,0.5516462233699161,0.0257843770174306,0.04566817301484829,0.24139444803098772,0.04894770819883796,0.05941897998708844,0.027140090380890897
E14001069,0.6009991516636818,0.025791780563672352,0.05778112922989914,0.20083184088981054,0.050582052973890096,0.035123480064096525,0.02889056461494957
E14001070,0.5499364388113428,0.032661640507986055,0.06387584800694768,0.19929264578167677,0.05726800166140137,0.06032649054133995,0.03663893468930536
E14001071,0.6284076418486565,0.024515491630957988,0.05586637104093191,0.18531368111480004,0.048697829907980744,0.027605776189874434,0.029593208266798395
E14001072,0.6155678342139308,0.021630052352222852,0.05027264263864876,0.21792066159668236,0.04110798099360408,0.0290778512616523,0.024422976943258897
E14001073,0.5583666087521972,0.04878023998943315,0.11953749707887544,0.09128133223600654,0.08634336168094207,0.04576259131689375,0.04992836894565184
E14001074,0.5535712191747089,0.025563151537893267,0.04901558414146508,0.2292358024836126,0.04896867927625793,0.06366162830239566,0.029983935083666553
E14001075,0.5388371164996126,0.028191826482946408,0.047264148728903076,0.22380930025116783,0.055644233703434194,0.0720288256144222,0.03422454871951363
E14001076,0.5444911607779499,0.021489513412505226,0.03957365198790293,0.2775687836542008,0.03613139583487005,0.05167072361141845,0.029074770721152665
E14001077,0.5827018336150945,0.030572073722912506,0.05562320451133153,0.20311631811034792,0.0583777649047726,0.04033716764987528,0.029271637485665646
E14001078,0.6411096106234526,0.026896241278415486,0.04870582939455323,0.18370470402880937,0.04172856178257934,0.030868782354265135,0.026986270537924826
E14001079,0.5539495445968925,0.021640382957907243,0.0444454797456265,0.2566097509841832,0.04061357124554497,0.04874327377763284,0.03399799669221272
E14001080,0.4878867751547101,0.020650928260371303,0.2168347467338987,0.19264267705707083,0.031205592482236994,0.028925051570020628,0.021854228741691496
E14001081,0.7023095919322027,0.03471459187780812,0.07608707477072704,0.08609566910716811,0.0423951001403379,0.026076739809183975,0.03232123236257221
E14001082,0.5892127833367368,0.024645190933224422,0.05362977333061058,0.24224014702879315,0.045767817030835205,0.020050541147641415,0.024453747192158464
E14001083,0.6260831590318799,0.03351184866803043,0.060197209644425036,0.18503918909600753,0.040970418553336246,0.02685774702921369,0.027340427977107132
E14001084,0.5795220762778921,0.033843510501209505,0.0713268374290688,0.1819908213324893,0.05180521330228562,0.04207266068320033,0.03943888047385436
E14001085,0.6346558722028086,0.042183057322075834,0.13839993054500466,0.07167972565276844,0.038829683328630654,0.03702819438716819,0.03722353656154364
E14001086,0.5426945155534869,0.046427740283919015,0.16146924210689628,0.061069738577301996,0.0920991389341401,0.0453611046466527,0.05087851989760298
E14001087,0.5233591928664568,0.019638317769318916,0.0519210252492657,0.31682098968691963,0.03379739999736575,0.03248027606917535,0.021982798361497833
E14001088,0.47283853138570864,0.021002763521515987,0.04278194499276221,0.35895512567443083,0.04061060665877089,0.038847216739044614,0.024963811027766812
E14001089,0.5888734317767028,0.03131979630645923,0.06623868900999323,0.20535269868416015,0.048536750347785027,0.03098796472375021,0.028690669151149286
E14001090,0.6400339682154556,0.0202353512070848,0.04745844959359456,0.20792187310445226,0.03633385903190586,0.02086618949411622,0.027150309353390755
E14001091,0.5175286073450974,0.030592824079513147,0.06317112714114523,0.2133273808125191,0.051516717967997366,0.08562231255433633,0.038241030099391435
E14001092,0.48108535662700325,0.04359538711970103,0.1562349542609533,0.16697617901277026,0.05980466331934796,0.049086365407983126,0.0432170942522411
E14001093,0.5076523093764473,0.05036630036630037,0.0853964043619216,0.16680350301039956,0.06757610205886068,0.07124963159445918,0.0509557492316113
E14001094,0.4637026434673704,0.04664087310462048,0.12042089725812945,0.1411414769423447,0.11184416513843538,0.054792682381357066,0.061457261707742544
E14001095,0.46567160883629016,0.05092679480244201,0.10636888530707322,0.156600170013579,0.10379660193638843,0.06431812410991268,0.05231781499431448
E14001096,0.4074127931842677,0.059851504627649564,0.23317023933758746,0.0692864352556755,0.10729988195644363,0.05195627256086086,0.07102287307751527
E14001097,0.5184885643264073,0.04392297720001427,0.07626161110384282,0.2020361802590421,0.06100215273730658,0.0607523876354381,0.03753612673794884
E14001098,0.45052358847025803,0.05939760336823923,0.13326136240958653,0.12487315124689626,0.1061319227032279,0.05488502644931448,0.0709273453524776
E14001099,0.4467338045024499,0.034807053988755166,0.22269514756023212,0.16367105471131482,0.050782396640097545,0.047316368234470614,0.03399417436267979
E14001100,0.4784283063565602,0.04930506120829492,0.1071407732433978,0.1531316007515375,0.09968374741804857,0.056120246000163375,0.05619026502199764
E14001101,0.50363536861856,0.025825450186328928,0.04785917181351471,0.2834154223021395,0.04699919214030698,0.0616058165897897,0.030659578349360228
E14001102,0.4881778614280673,0.03463121985648747,0.09998823667803788,0.16193389013057288,0.09811786848606047,0.07008587225032349,0.04706505117045053
E14001103,0.5105097214923805,0.04219414321884107,0.09396646443414704,0.16259016863325848,0.0708092485549133,0.07147804901351933,0.04845220465294033
E14001104,0.48310903942059497,0.027002982231912387,0.05266521314186903,0.3116933563892439,0.035686539859158456,0.06202541162318623,0.027817457334035036
E14001105,0.49663814863627226,0.04195054392744656,0.057441865659972745,0.21648759130609602,0.05586704492148234,0.0873076149842518,0.0443071905644783
E14001106,0.5443604850854712,0.027398346059341067,0.049195487331237284,0.262886734127718,0.03828370630663954,0.05104494174218605,0.0268302993474068
E14001107,0.5152102002766584,0.03464244902868828,0.04656281951043483,0.25666686714380227,0.04913694593131653,0.06490647741625068,0.03287424069284898
E14001108,0.5118606457339399,0.023932098080550315,0.05026073449461888,0.3057472539664928,0.03797847553533785,0.04011982691667591,0.030100965272384334
E14001109,0.5585077474909723,0.019963527010543353,0.042934264078936246,0.24624098742768807,0.04480622214707552,0.06143645608144829,0.026110795763336192
E14001110,0.5109472049689441,0.035858473824312335,0.07401286601597161,0.22213842058562555,0.06173469387755102,0.057309228039041704,0.03799911268855368
E14001111,0.5103144101998651,0.03981244580518772,0.09135773393424898,0.16324280346418593,0.08383201481592498,0.06693929110509243,0.04450130067549485
E14001112,0.5636787108145537,0.02402115069872844,0.05980108271433967,0.24208737252927107,0.0418481681984137,0.04252801208611356,0.02603550295857988
E14001113,0.5346073628558956,0.03560168792743852,0.061599650773633406,0.19487558810690206,0.05158364456516467,0.08238346995198137,0.03934859581898433
E14001114,0.5117438384924862,0.02867958092440712,0.04473104489652391,0.28019733371945105,0.04760624269565307,0.05472184012659144,0.032320119144887215
E14001115,0.5672925472243312,0.029858695282666093,0.08367233623043888,0.2061213158222756,0.03801742795952362,0.045224308490747774,0.029813368990016884
E14001116,0.5074808324205915,0.02769989047097481,0.1596933187294633,0.19789704271631983,0.037316538882803944,0.04231106243154436,0.0276013143483023
E14001117,0.6552977286678944,0.02687538367096378,0.05619398403928791,0.1717863720073665,0.03776550030693677,0.02483732351135666,0.027243707796193985
E14001118,0.48193031811296255,0.045194136607478445,0.10411280310709689,0.13787172974635245,0.11511520632353443,0.05939703185685486,0.05637877424572034
E14001119,0.5319023992713502,0.03757100740634213,0.07745499868171904,0.17782411735097434,0.0727091872198653,0.06108434601279931,0.041453944056949736
