ons_code,pc_trav_wfh,pc_trav_pubtrans,pc_trav_car,pc_trav_other
E14001063,0.2972012224545601,0.04780440727038765,0.5029757117580826,0.1520186585169696
E14001064,0.2371224754493237,0.042523624235686494,0.6103390772651474,0.1100148230498425
E14001065,0.4480988792290772,0.03619985335707552,0.4077511260081701,0.10795014140567717
E14001066,0.21352039029855974,0.030532925605172855,0.6128994607717267,0.14304722332454073
E14001067,0.394004715392388,0.019939373526439878,0.4835747165151005,0.10248119456607163
E14001068,0.17461593221117414,0.03538705306909776,0.629756355202425,0.16024065951730315
E14001069,0.2776139974731039,0.05023163214518167,0.5148550863356177,0.15729928404609672
E14001070,0.23092064060123468,0.0910575288538964,0.5020130625391429,0.17600876800572604
E14001071,0.3312319787954224,0.03141286243888461,0.4800759353117109,0.15727922345398213
E14001072,0.3134972635473676,0.024955677175672552,0.4732906806444153,0.18825637863254452
E14001073,0.20685597605080552,0.3736870338645763,0.3085016179549741,0.11095537212964406
E14001074,0.18529986284859315,0.05267860853663605,0.6025310668717011,0.1594904617430697
E14001075,0.1799987197815094,0.059359464015191925,0.5915462905669234,0.16909552563637528
E14001076,0.21690190777957502,0.03401209811437814,0.5124637167357249,0.23662227737032196
E14001077,0.31366447316261,0.08530880837231428,0.4564734797431222,0.14455323872195355
E14001078,0.3659379189440033,0.04511704650922966,0.43286583479426627,0.15607919975250079
E14001079,0.18460176262251873,0.019088213491475166,0.6204390083189194,0.17587101556708673
E14001080,0.4359861591695502,0.05225351495773291,0.281809819981604,0.22995050589111296
E14001081,0.5879227639808124,0.20084704596514663,0.07216588742485883,0.1390643026291821
E14001082,0.45686479119194157,0.032348744596119854,0.4187874012394318,0.09199906297250676
E14001083,0.5075186614258411,0.1847210702823555,0.21782481699181422,0.08993545129998919
E14001084,0.2666679261680301,0.04445410062156392,0.44578791256541533,0.24309006064499064
E14001085,0.5269860023958385,0.2405192077323225,0.07092338239879223,0.16157140747304682
E14001086,0.4595295833403992,0.23866777459343044,0.09333717716088114,0.20846546490528922
E14001087,0.24683870650919537,0.018587178039138653,0.578191371817222,0.156382743634444
E14001088,0.3206171490988531,0.032086291643910435,0.5175314036045876,0.12976515565264882
E14001089,0.3411647775334123,0.17941126712908137,0.37683979022162073,0.10258416511588564
E14001090,0.3632562029551157,0.041761918037357126,0.44651984016355356,0.1484620388439736
E14001091,0.2312379517404888,0.09199884779863066,0.5035563138419268,0.17320688661895373
E14001092,0.3016174211620132,0.1193864642631246,0.42671907472666487,0.15227703984819735
E14001093,0.2027669172932331,0.12982456140350876,0.4979649122807018,0.1694436090225564
E14001094,0.29342886291968096,0.10712298274902615,0.4370246707475422,0.1624234835837507
E14001095,0.16891258093298864,0.11640623212610675,0.5505502299297628,0.16413095701114186
E14001096,0.2739246288542063,0.17219261515036163,0.326284735439665,0.22759802055576703
E14001097,0.23498671192799875,0.11403175737543829,0.5071800254594993,0.14380150523706367
E14001098,0.20597727272727273,0.14686363636363636,0.47106818181818183,0.1760909090909091
E14001099,0.3105395085154731,0.10792512943050578,0.42893621008738025,0.1525991519666409
E14001100,0.19972338779624463,0.12044351719449589,0.5075833938910898,0.17224970111816967
E14001101,0.224509005800346,0.03078253790576982,0.5858603846545233,0.15884807163936093
E14001102,0.1792588804165892,0.03480100427747815,0.5461688673981774,0.23977124790775525
E14001103,0.21111988271117627,0.14683658509078606,0.4749746250140972,0.16706890718394046
E14001104,0.23096894535188547,0.048069167170800564,0.5517241379310345,0.1692377495462795
E14001105,0.19578300117744538,0.07073394095329466,0.4796781649295713,0.2538048929396886
E14001106,0.25074910820451846,0.05284185493460167,0.5565755053507729,0.13983353151010702
E14001107,0.20954299844308086,0.04746313764996794,0.5786473120249107,0.16434655188204048
E14001108,0.21637142917467223,0.03817325760614826,0.5496484597681734,0.19580685345100607
E14001109,0.18504704585911672,0.02682885479359159,0.6402051368992117,0.14791896244808003
E14001110,0.22848308934881373,0.05340316338549554,0.5486917381793707,0.16942200908632005
E14001111,0.20818213148985343,0.07172542420986477,0.5131672309282949,0.20692521337198694
E14001112,0.2839807411603233,0.03954162218688046,0.5466111849415045,0.12986645171129169
E14001113,0.253124516114761,0.11316831464153781,0.439047050235583,0.19466011900811822
E14001114,0.12460361503091803,0.0201165371809101,0.6068852069129539,0.248394640875218
E14001115,0.30627762017792703,0.0645130164611436,0.44570524325054517,0.18350412011038422
E14001116,0.28742052771627635,0.06593406593406594,0.46310251670695296,0.1835428896427048
E14001117,0.37954649775084914,0.028715688974570826,0.46257229413384743,0.12916551914073257
E14001118,0.20464159140276666,0.0722533440036584,0.5078998513776152,0.21520521321595976
E14001119,0.20643078342228371,0.06652610309459489,0.5371285497792713,0.18991456370385013
E14001120,0.20918813003139827,0.08187162114308648,0.4740196888500673,0.23492055997544795
E14001121,0.28039024390243905,0.028370731707317073,0.5598243902439024,0.13141463414634147
E14001122,0.30249736772834956,0.34270531718873387,0.22023887865227693,0.13455843643063964
E14001123,0.2604778813204534,0.34075015893197713,0.2432977222334207,0.15547423751414882
E14001124,0.36062208889239755,0.2408620825767743,0.2587826636141154,0.13973316491671273
E14001125,0.4231534001716307,0.08345019570086025,0.40130188165853864,0.09209452246897043
E14001126,0.19664575598514916,0.034587974224384414,0.5735927964835915,0.19517347330687493
E14001127,0.21324679386925244,0.014675216348660203,0.572776561359608,0.19930142842247942
E14001128,0.19295977011494253,0.01635536398467433,0.6534722222222222,0.1372126436781609
E14001129,0.33239792984473837,0.11848188614146062,0.338953421506613,0.21016676250718805
E14001130,0.46067543926371035,0.09262569407469384,0.21063740777363657,0.23606145888795924
E14001131,0.5110870187783824,0.05232581925295585,0.17397618950210694,0.26261097246655485
E14001132,0.3594720904587702,0.07866132222436155,0.3556212914179692,0.20624529589889903
E14001133,0.30614838960985713,0.06923345019168871,0.44570186768353937,0.1789162925149148
E14001134,0.3689585146504207,0.06641524030557973,0.3698094961802534,0.19481674886374625
E14001135,0.34873257170366806,0.06663950969318792,0.3788027477919529,0.20582517081119114
E14001136,0.29132573319849225,0.016939413441206214,0.5782844534338513,0.11345039992645031
E14001137,0.4571563863954542,0.1499629416124516,0.3003788190727168,0.09250185291937742
E14001138,0.3475796730602491,0.022014507158415634,0.5327891386639034,0.09761668111743185
E14001139,0.30235069043244367,0.09156516962476086,0.4846475858541852,0.12143655408861023
E14001140,0.33481797936645,0.05992364677543971,0.4588919692769168,0.14636640458119346
E14001141,0.36782433427652234,0.03583472227605721,0.4685259118570487,0.12781503159037172
E14001142,0.1714041133475274,0.04567703417546478,0.5624794222875832,0.2204394301894247
E14001143,0.2062414189765854,0.01782997513822405,0.5600764406842554,0.2158521652009351
E14001144,0.2784272051009564,0.04955648571862326,0.5189225530807434,0.15309375609967685
E14001145,0.3148114000040978,0.0712602700432315,0.4633146884668183,0.15061364148585243
E14001146,0.2684297917458539,0.01478384379938784,0.5457018824894473,0.17108448196531098
E14001147,0.3253476116907579,0.04302554443292205,0.4946350341791708,0.13699180969714927
E14001148,0.21525048561232327,0.021931607715589285,0.6044405294303654,0.15837737724172202
E14001149,0.4655,0.047683333333333335,0.18411666666666668,0.3027
E14001150,0.19495877406551138,0.02084825173394439,0.6395237023548909,0.14466927184565337
E14001151,0.3313694950452586,0.05604839619873141,0.4105324936231688,0.20204961513284125
E14001152,0.18581580385884638,0.039560261575526896,0.561800255096876,0.21282367946875064
E14001153,0.3450385225908862,0.16626659955863565,0.36528708041348873,0.12340779743698943
E14001154,0.28493072281973625,0.06698781389359217,0.5284859180120669,0.11959554527460473
E14001155,0.3286428522950931,0.01608488111666629,0.5167748795330633,0.13849738705517725
E14001156,0.30558631993975105,0.01822974349887033,0.5449430735834847,0.13124086297789395
E14001157,0.25254397728169126,0.05754516052693855,0.5560069417054508,0.13390392048591937
E14001158,0.41265918603615637,0.031035711105174103,0.4524222994033307,0.10388280345533886
E14001159,0.3848066096366162,0.06658989544490751,0.395755648168458,0.15284784675001828
E14001160,0.5727392284569138,0.17923346693386774,0.07264529058116233,0.17538201402805612
E14001161,0.37870434869141206,0.03339635784655189,0.37243506816598665,0.21546422529604936
E14001162,0.4809962354042155,0.04602590552353404,0.37945849373630813,0.09351936533594232
E14001163,0.3177919708029197,0.03975821167883212,0.44149178832116787,0.20095802919708028
E14001164,0.39921451111262457,0.016095711593906787,0.48334808962746034,0.1013416876660083
E14001165,0.2326315051527119,0.04725071857546795,0.5518893276937817,0.16822844857803845
E14001166,0.2964199670315736,0.029100976372627752,0.4829451794243206,0.19153387717147807
E14001167,0.3885632140990217,0.2014599357777612,0.30145246807557313,0.10852438204764393
E14001168,0.3685518457653613,0.023307547396689245,0.4621227303699547,0.14601787646799472
E14001169,0.45519699951724907,0.1640610494262691,0.29145159493482864,0.08929035612165323
E14001170,0.2820647031586576,0.026392607654057536,0.5604050490205947,0.13113764016669016
E14001171,0.3147177139686503,0.017644610903037868,0.5379109446525177,0.12972673047579414
E14001172,0.5986720946011438,0.1513682918160964,0.05272850634874479,0.19723110723401505
E14001173,0.31095334685598375,0.043990872210953345,0.5028904665314402,0.14216531440162272
E14001174,0.20951003032748114,0.033221112378620514,0.5834840432931749,0.1737848140007234
E14001175,0.5448239556560245,0.25291858916793114,0.07644071470597343,0.1258167404700709
E14001176,0.2891650778804993,0.062034605561351125,0.45102341810856506,0.19777689844958452
E14001177,0.31472488304744933,0.0398752506126086,0.5232568500779684,0.12214301626197371
E14001178,0.35913124708080335,0.013171415226529658,0.5225595516113966,0.10513778608127043
E14001179,0.23433787456624672,0.019828720876566213,0.5592383036187416,0.1865951009384455
E14001180,0.19212429157709596,0.09327731092436975,0.48923197185851086,0.22536642564002346
E14001181,0.2720491885898599,0.06749319625037799,0.4940026207035581,0.16645499445620401
E14001182,0.31088964511424405,0.08981526494895478,0.4191986712040188,0.18009641873278237
E14001183,0.3019884372810091,0.05538279607568325,0.5148694814295726,0.1277592852137351
E14001184,0.26999083222980547,0.11211843400903194,0.4716817765101355,0.14620895725102712
E14001185,0.2466011450737584,0.020700844818261503,0.517465172227299,0.21523283788068107
E14001186,0.35134046714992523,0.22619184597092779,0.3248763088252215,0.09759137805392552
E14001187,0.47124300559552357,0.15607513988808952,0.2925059952038369,0.08017585931254996
E14001188,0.3157108163646553,0.3035001613368884,0.2366727238761612,0.14411629842229506
E14001189,0.23713146222371315,0.28433784337843376,0.3694509672369451,0.10907972716090797
E14001190,0.23367015517863587,0.03922320461927102,0.5114579574160952,0.21564868278599783
E14001191,0.31012796277446564,0.1227642867529446,0.4450705249381998,0.12203722553438999
E14001192,0.334772400212073,0.01293266681814739,0.5312428993410588,0.12105203362872075
E14001193,0.24955206466936122,0.05316888203675153,0.481415892328847,0.2158631609650402
E14001194,0.19498871149814545,0.06843654249314626,0.49858893726818254,0.23798580874052572
E14001195,0.34040141676505314,0.013766233766233767,0.5202833530106258,0.12554899645808737
E14001196,0.2008863336926578,0.0489399928135106,0.5510600071864894,0.1991136663073422
E14001197,0.4037782078369405,0.03178097757576834,0.4374589421728246,0.12698187241446657
E14001198,0.18139653715386278,0.06283041487333688,0.5403376373248433,0.21543541064795707
E14001199,0.2180460042684373,0.0319895660422101,0.6132084420203936,0.13675598766895897
